Name,Line,Sentiment,Irony,Hate,Intimacy,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
PROF. WEST,Watch out!,0.0,[ 1.3698119  -0.60216933],[ 1.1431769 -1.105975 ],0.0930948257446289,-5.39151668548584,-5.883454322814941,-3.5427427291870117,-3.61466908454895,-4.5829362869262695,-3.3863840103149414,-6.811339378356934,-6.582376003265381,-6.42927885055542,-6.171390056610107,-5.978426456451416,-5.695351600646973,-6.365071773529053,-5.317958831787109,-4.035852909088135,-6.642295837402344,-7.115047454833984,-5.570521831512451,-6.655611991882324,-5.982705593109131,-6.037385940551758,-6.710918426513672,-5.4774370193481445,-6.91265344619751,-7.470884323120117,-5.957489967346191,-6.5492095947265625,1.4681103229522705
PROF. WEST,How deep are we?,0.0,[ 2.2421556 -1.3888174],[ 1.444667  -1.4311358],0.0910703241825103,-6.264891624450684,-6.585058689117432,-6.14558744430542,-4.820659637451172,-5.024353981018066,-6.470296859741211,-1.4683295488357544,0.588145911693573,-6.683769702911377,-6.2461838722229,-5.699360370635986,-6.917123317718506,-7.439770698547363,-6.295248031616211,-6.918406963348389,-7.179353713989258,-8.330265045166016,-7.15440034866333,-6.475587368011475,-7.7052788734436035,-5.98544454574585,-10.006430625915527,-5.56884765625,-8.927525520324707,-7.821346282958984,-6.831785202026367,-5.040958404541016,-0.6615781188011169
PROF. WEST,"Helmsley told me that the neutrino
                    count doubled during the last sun
                    eruptions.",0.0,[-1.0768068  1.2390504],[ 1.197944 -1.40952 ],0.0894069969654083,-5.832090377807617,-5.752462387084961,-6.611154079437256,-5.196174621582031,-3.793996810913086,-7.090700149536133,-5.691308975219727,-6.088744163513184,-7.1924824714660645,-6.022344589233398,-6.190548419952393,-6.7132487297058105,-7.559845447540283,-6.077138423919678,-6.72419548034668,-7.571942329406738,-8.076916694641113,-6.228663444519043,-7.107720851898193,-7.858406066894531,-5.863492965698242,-8.054584503173828,-4.460659027099609,-7.840435028076172,-8.395965576171875,-6.5315117835998535,-6.6798858642578125,3.101609945297241
PROF. WEST,How can that be?,0.0,[ 2.0432718 -1.2534487],[ 1.2875482 -1.1842986],0.0895130932331085,-6.645937442779541,-6.679481506347656,-5.623969554901123,-4.014293193817139,-5.241705894470215,-6.616574287414551,-0.021367214620113373,-0.1042473316192627,-7.20943021774292,-5.513023853302002,-4.503909587860107,-6.435305595397949,-6.75157356262207,-6.698566913604736,-6.807252883911133,-7.1329474449157715,-8.140850067138672,-7.306212425231934,-7.018649578094482,-7.491779327392578,-6.0302886962890625,-9.762059211730957,-5.232217311859131,-8.936718940734863,-7.538260459899902,-6.578732967376709,-4.618624210357666,-0.7459684014320374
ADRIAN,"I still can't believe that Wilson chose
                    him of all people to run the White
                    House.",0.0,[-0.6886091   0.99791634],[ 1.4191085 -1.5708609],0.0957010686397552,-4.600655555725098,-5.645197868347168,-5.3373494148254395,-4.493428707122803,-4.767412185668945,-7.9946722984313965,-4.528502464294434,-3.484400987625122,-7.141831398010254,-5.179134845733643,-5.485856533050537,-6.006595134735107,-6.590333461761475,-3.803166627883911,-6.264602184295654,-7.2689127922058105,-7.109170913696289,-5.582841873168945,-6.027663230895996,-7.590363502502441,-6.68431282043457,-7.706958770751953,-4.071734428405762,-7.652070999145508,-8.321370124816895,-6.436694622039795,-0.360988050699234,-0.021125586703419685
ADRIAN,Shame he's such a pompous ass.,0.0,[-0.34670645  1.0180632 ],[ 1.006585   -0.98319554],0.1115431785583496,-4.898251533508301,-3.6614134311676025,-1.9299736022949219,-0.4951455295085907,-5.010955333709717,-6.885673522949219,-6.143877029418945,-6.271448135375977,-6.72183895111084,-2.160935878753662,-3.695143699645996,-1.902859091758728,-1.4444867372512817,-6.609588146209717,-6.403068542480469,-6.296998977661133,-6.965982913970947,-6.219503402709961,-6.778176784515381,-6.975863933563232,-6.313838958740234,-6.49246883392334,-4.459111213684082,-7.113255500793457,-5.316782474517822,-4.7142767906188965,-5.955023288726807,-2.3652091026306152
ANHEUSER,Which one is it?,0.0,[ 2.3354225 -1.3634409],[ 1.1533116 -1.164478 ],0.0892643332481384,-6.3189592361450195,-6.412716865539551,-6.2062835693359375,-4.934425354003906,-4.955623626708984,-6.630309104919434,-0.8214085102081299,0.19936339557170868,-6.894545078277588,-6.373440265655518,-5.5408406257629395,-6.918797016143799,-7.486904144287109,-6.587382793426514,-7.123222827911377,-7.086879730224609,-8.371219635009766,-7.200177192687988,-6.370522499084473,-7.978141784667969,-6.112584590911865,-9.972743034362793,-5.570167064666748,-9.009440422058105,-7.748018264770508,-6.873243808746338,-5.44932746887207,-0.46740418672561646
ADRIAN,"We were talking about what a great
                    speech you gave tonight. Well done,
                    sir.",0.8,[-1.520199   1.6074759],[ 1.8595384 -1.8598818],0.115054965019226,2.356031894683838,-6.351693630218506,-6.101067066192627,-5.048880100250244,-2.6060287952423096,-6.526782512664795,-5.2671942710876465,-4.853185653686523,-7.444279670715332,-5.830037593841553,-5.083588600158691,-6.70155143737793,-7.86742639541626,-5.686919689178467,-7.526828289031982,-4.616782188415527,-8.106064796447754,-6.206565856933594,-6.4648590087890625,-8.789724349975586,-5.601099014282227,-6.252868175506592,-5.16893196105957,-7.639496326446533,-8.275667190551758,-6.660616874694824,-6.320964813232422,-2.9683263301849365
ANHEUSER,"It's Helmsley, right? I'll remember
                    that.",0.2857142857142857,[-0.15144812  0.4070979 ],[ 1.6782423 -1.6685177],0.0913811326026916,-6.241257667541504,-6.185278415679932,-6.599903106689453,-5.075626850128174,-2.8735828399658203,-6.2899322509765625,-0.40815964341163635,-1.0047328472137451,-6.719352722167969,-6.227147579193115,-5.5374860763549805,-7.038949966430664,-7.310113906860352,-5.946476936340332,-6.322689056396484,-7.363323211669922,-7.942351341247559,-6.483854293823242,-6.624970436096191,-6.904616355895996,-4.958161354064941,-8.867855072021484,-3.2689359188079834,-7.7959442138671875,-7.626622200012207,-6.502102851867676,-4.950723648071289,-0.12982913851737976
ADRIAN,"(into the phone)
                    Professor West?",0.0,[ 0.50308245 -0.01817161],[ 1.924929  -1.9859936],0.0891846418380737,-6.512491226196289,-6.076108455657959,-5.81901216506958,-4.845104694366455,-4.4299116134643555,-6.855339527130127,-1.5304127931594849,-1.493769645690918,-7.270581245422363,-6.484925270080566,-5.734134197235107,-6.757142066955566,-7.355349063873291,-6.230503082275391,-6.752388000488281,-7.667160987854004,-8.150285720825195,-6.9988532066345215,-6.76629638671875,-7.830772399902344,-6.2036662101745605,-9.359515190124512,-5.144991874694824,-8.676289558410645,-8.157485008239746,-6.893579959869385,-5.380504608154297,1.4117189645767212
