Name,Line,Sentiment,Irony,Hate,Intimacy,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
BATEMAN (V.O.),"We're sitting in Pastels, this nouvelle Northern California 
place on the Upper East Side.

The Waiter sets down plates containing tiny, elaborately 
decorated starters. As he does so we hear Bateman's 
description of each of the men at the table.",0.0861111111111111,[ 0.5715686  -0.06044672],[ 1.8910457 -1.9728667],0.0923969149589538,-5.9210662841796875,-6.346358299255371,-6.349284648895264,-4.608926773071289,-3.7371022701263428,-6.66460657119751,-6.566023826599121,-6.968438148498535,-6.835121154785156,-5.609911918640137,-5.526279449462891,-6.443077564239502,-7.327899932861328,-6.40217924118042,-6.911496639251709,-7.23988151550293,-8.053525924682617,-6.143034934997559,-7.202052593231201,-7.929356575012207,-6.100434303283691,-7.77327823638916,-4.552460670471191,-7.500325679779053,-8.102516174316406,-6.320580005645752,-7.274208068847656,3.2283999919891357
BATEMAN (V.O.),"You'll notice that my friends and I all look and behave in 
a remarkably similar fashion, but there are subtle differences 
between us. McDermott is the biggest asshole. Van 
Patten is the yes man. Price is the most wired. I'm the 
best looking. We all have light tans. Right now I'm in a 
bad mood because this is not a good table, and Van Patten 
keeps asking dumb, obvious questions about how to dress .",0.0427380952380952,[ 0.8223106  -0.56222165],[ 1.546278  -1.6092676],0.1124869436025619,-5.192255973815918,-6.053341388702393,-2.696855306625366,0.3361603021621704,-3.477750062942505,-6.989965438842773,-6.050045013427734,-7.2117204666137695,-6.5747904777526855,-2.623215675354004,-2.5351216793060303,-3.367251396179199,-5.004642963409424,-7.293679237365723,-7.38442325592041,-7.338710784912109,-7.912710189819336,-7.1075239181518555,-7.377185821533203,-7.7517194747924805,-5.932263374328613,-6.971229553222656,-3.714586019515991,-7.461596488952637,-7.586523056030273,-6.0656657218933105,-6.783473014831543,-0.6161366701126099
VAN PATTEN,"What are the rules for a sweater vest?

McDERMOTT 
What do you mean?",-0.3125,[ 1.9009625 -1.3781477],[ 1.7892238 -1.8507878],0.0885392725467681,-6.768821716308594,-6.366416931152344,-5.896216869354248,-4.530839920043945,-5.011873245239258,-6.608985900878906,-0.7470826506614685,0.05486832559108734,-7.067513942718506,-6.43873405456543,-5.435238838195801,-6.768355846405029,-7.224898338317871,-6.625167369842529,-6.9404616355896,-7.1118974685668945,-8.355015754699707,-7.155540943145752,-6.657360553741455,-7.795726776123047,-6.1633620262146,-9.882003784179688,-5.274456024169922,-8.883524894714355,-7.918609142303467,-7.01658296585083,-5.108985900878906,-0.2765488922595978
PRICE,"Yes. Clarify.

McDERMOTT 
Well, is it strictly informal-",0.0,[ 1.3433865  -0.98337424],[ 1.9637443 -2.0757747],0.0901025235652923,-6.131659507751465,-7.0009565353393555,-6.805431365966797,-5.2956414222717285,-1.4452170133590698,-6.527944564819336,-3.756080150604248,-4.133309841156006,-7.017153263092041,-6.986649513244629,-5.326450824737549,-7.169939041137695,-8.536412239074707,-6.433888912200928,-7.497347354888916,-7.708187103271484,-8.898205757141113,-6.870710372924805,-6.595623970031738,-8.25150203704834,-5.4622297286987305,-8.671271324157715,-4.328360557556152,-7.9787516593933105,-8.81567096710205,-7.6132283210754395,-6.867136001586914,1.2714548110961914
BATEMAN,"Or can it be worn with a suit?

McDERMOTT 
(Smiling) 
Exactly",0.25,[ 1.3065706  -0.81772804],[ 1.6546524 -1.8118354],0.0906212627887725,-5.521277904510498,-5.427394866943359,-6.737581729888916,-5.58563232421875,-3.0254054069519043,-6.1677446365356445,-1.1267822980880737,-0.8931659460067749,-6.830394744873047,-6.902087688446045,-5.834182262420654,-7.333120346069336,-7.509864330291748,-5.110343933105469,-6.646637439727783,-7.043815612792969,-8.239518165588379,-5.277283191680908,-5.846227645874023,-7.207521438598633,-5.570284366607666,-8.688464164733887,-4.775845050811768,-7.611510276794434,-7.724992275238037,-7.115458965301514,-5.466512680053711,0.21342629194259644
BATEMAN,"With discreet pinstripes you should wear a subdued blue or 
charcoal gray vest. A plaid suit would cal I for a bolder 
vest.

McDERMOTT 
But avoid matching the vest's pattern with your socks or
tie. Wearing argyle socks with an argyle vest will look 
too studied.",0.0,[ 1.7270535 -1.2869189],[ 1.4502851 -1.4363186],0.0963905453681945,-5.7111897468566895,-6.775788307189941,-6.030375003814697,-3.8192663192749023,-2.8453385829925537,-4.971355438232422,-6.681361198425293,-7.775510311126709,-7.035073757171631,-5.217268466949463,-3.3083512783050537,-6.068464756011963,-7.074510097503662,-7.5584940910339355,-6.781074047088623,-7.1193647384643555,-8.06610107421875,-7.034598350524902,-7.300297737121582,-7.7068986892700195,-5.580235004425049,-7.621838569641113,-3.90407657623291,-7.0751872062683105,-7.698384761810303,-6.549136638641357,-8.071497917175293,2.3911538124084473
VAN PATTEN,You think so?,0.0,[ 1.8839203 -1.0824542],[ 1.4736477 -1.4517335],0.0916744768619537,-6.501483917236328,-6.7880988121032715,-6.0964884757995605,-4.621725559234619,-4.523835182189941,-6.575840950012207,-1.1118630170822144,-0.2194332778453827,-7.065186023712158,-6.554889678955078,-5.497045040130615,-6.927506446838379,-7.5905585289001465,-6.744847774505615,-7.2303948402404785,-7.291930198669434,-8.509088516235352,-7.400787353515625,-6.99923038482666,-8.110214233398438,-5.887816429138184,-9.766785621643066,-5.216851234436035,-8.888602256774902,-8.231025695800781,-7.185667991638184,-5.268963813781738,0.12767933309078217
PRICE,You'll look like you consciously worked for the look.,0.1,[-0.26095343  0.7574941 ],[ 1.4618907 -1.294258 ],0.1108900904655456,-1.3161360025405884,-7.368689060211182,-7.387298583984375,-5.536759853363037,-0.9680455923080444,-4.834981918334961,-6.9741621017456055,-7.304328918457031,-5.928783893585205,-5.76048469543457,-5.555735111236572,-6.890851974487305,-7.747823238372803,-6.19748067855835,-7.415032863616943,-5.410114288330078,-7.699246883392334,-6.3672380447387695,-6.358461856842041,-8.157520294189453,-4.100391864776611,-5.565138816833496,-3.453751802444458,-6.01556921005249,-7.372900485992432,-6.74768590927124,-7.226830005645752,0.19646137952804565
VAN PATTEN,"Good point. Excuse me, gentlemen.

Van Patten leaves the table. As he does so, a busboy 
discreetly removes their largely untouched plates.",0.288095238095238,[ 0.90248686 -0.37100706],[ 1.4658647 -1.5769655],0.1132772415876388,0.12766562402248383,-6.503903388977051,-6.367720603942871,-4.527421474456787,-0.6691498160362244,-5.475892066955566,-4.463033676147461,-4.8098602294921875,-7.4000020027160645,-5.901301860809326,-4.358757495880127,-7.137465476989746,-7.474919319152832,-6.260230541229248,-7.971609592437744,-2.8992695808410645,-8.062219619750977,-5.961952209472656,-7.15997314453125,-8.545371055603027,-5.340620517730713,-6.008884906768799,-4.148181915283203,-6.353932857513428,-7.3974690437316895,-7.03981351852417,-7.108614921569824,-1.7291160821914673
BATEMAN,Van Patten looks puffy. Has he stopped working out?,0.0,[ 1.6367227 -1.1394151],[ 1.7834765 -1.762044 ],0.0931121706962585,-6.009310722351074,-6.381380558013916,-5.803722381591797,-3.69403338432312,-5.066046237945557,-4.895371437072754,-1.6348260641098022,-0.919023334980011,-5.916647911071777,-2.187185287475586,-4.5348429679870605,-5.626429557800293,-5.230391025543213,-6.464324474334717,-5.297081470489502,-8.078937530517578,-5.451309680938721,-6.710468292236328,-6.179230690002441,-4.458603382110596,-5.80178689956665,-8.825898170471191,-4.793659687042236,-7.163665294647217,-4.982662677764893,-1.753510594367981,-5.401036262512207,-0.5889381170272827
