Name,Line,Sentiment,Irony,Hate,Intimacy,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
DEADPOOL,"Written by

                 Rhett Reese & Paul Wernick




                         Final Shooting Script - November 16, 2015






    OVER BLACK. Low volume, through a tinny speaker, JUICE",-0.0555555555555555,[ 1.4795264 -1.1539577],[ 1.871891  -1.9181612],0.0890305936336517,-6.307651519775391,-5.742062091827393,-5.963018894195557,-5.137114524841309,-4.006455898284912,-7.193537712097168,-4.3901262283325195,-4.816813945770264,-6.742010593414307,-6.1685309410095215,-6.0321502685546875,-6.422425270080566,-7.408658981323242,-5.303459167480469,-6.311756610870361,-7.928491592407227,-7.905228137969971,-6.068321228027344,-6.5215163230896,-7.5687360763549805,-6.096097469329834,-8.274115562438965,-4.564088821411133,-8.008367538452148,-8.390729904174805,-6.568225383758545,-5.975834846496582,2.717867612838745
DEADPOOL,"Kinda lonesome back here.

    CUT TO: DEADPOOL, WEDGING himself through the opening
    between the back seat and front. His two katanas don't
    cooperate, catching on the Plexiglas, stalling him mid-torso.",0.1999999999999999,[ 1.408168  -0.8782606],[ 1.4489046 -1.4746327],0.0992843508720398,-5.773662090301514,-6.357915878295898,-5.173861026763916,-4.310398578643799,-4.16945743560791,-5.948742866516113,-6.375613212585449,-6.928956031799316,-6.667736530303955,-4.4313225746154785,-4.112882137298584,-5.8134002685546875,-7.096123695373535,-7.1168084144592285,-6.759501934051514,-7.354032039642334,-7.092919826507568,-6.372407913208008,-5.5648603439331055,-7.852068901062012,-6.476747989654541,-7.9988322257995605,-5.113637924194336,-7.725461483001709,-7.2007293701171875,-4.753812313079834,-7.590879917144775,2.942142963409424
DEADPOOL (CONT'D),"Little help?

    The cabbie grabs Deadpool's hand and pulls him through to the
    front. Deadpool's head rests upside down on the bench seat
    as he maneuvers his legs through. The cabbie turns the
    helping hand into a HANDSHAKE, then turns down the Juice.",-0.1662037037037037,[ 0.91741675 -0.42099538],[ 1.4550208 -1.6173222],0.1159118264913559,-6.624902248382568,-6.249371528625488,-5.881015300750732,-4.54937744140625,-4.142298221588135,-5.80323600769043,-5.059471607208252,-5.057772636413574,-6.8288397789001465,-5.846295356750488,-5.599800109863281,-6.679642677307129,-7.657527446746826,-7.115821361541748,-6.955458164215088,-7.904778957366943,-8.1051025390625,-7.000839710235596,-7.268616676330566,-7.888025283813477,-5.775841236114502,-8.822579383850098,-5.291572093963623,-8.330810546875,-8.109440803527832,-6.4288506507873535,-7.428452968597412,3.1377243995666504
DEADPOOL,"(still upside-down)
                Pool. Deadpool.

    Dopinder is remarkably UNAFFECTED by the lunatic in his cab.",-0.05,[ 0.73084384 -0.3895897 ],[ 1.3348703 -1.5233482],0.0964262187480926,-5.844335556030273,-5.642862319946289,-5.645631313323975,-4.5763630867004395,-4.075188636779785,-6.915953159332275,-6.141030788421631,-6.448501110076904,-7.35030460357666,-5.750224590301514,-5.521213054656982,-6.220767974853516,-7.406881809234619,-6.484111309051514,-6.4787983894348145,-8.027277946472168,-7.935718059539795,-6.4954657554626465,-7.257465362548828,-8.020615577697754,-6.271323204040527,-8.200060844421387,-4.976833343505859,-8.167346000671387,-8.517913818359375,-6.247754096984863,-6.95058536529541,3.1709141731262207
DOPINDER,"Why the fancy red suit, Mr. Pool?",0.0,[ 1.3053929 -0.6557963],[ 1.4053489 -1.5684118],0.094321608543396,-5.414597034454346,-6.258449554443359,-5.736391544342041,-4.477810382843018,-4.710356712341309,-6.705595970153809,-1.451356053352356,0.3523619771003723,-6.921346187591553,-6.45672082901001,-5.899699687957764,-6.895521640777588,-7.1633992195129395,-5.645609378814697,-7.201323986053467,-7.043867111206055,-8.338741302490234,-6.690423488616943,-6.515142440795898,-7.809429168701172,-6.207549571990967,-9.363241195678711,-5.520351409912109,-8.691468238830566,-7.8635454177856445,-7.406391143798828,-4.597718238830566,-0.2936965525150299
DEADPOOL,"It's like Christmas Day, Dopinder. Been
                waiting one thousand eight hundred twenty-
                two days, three hours...
                    (checks `Adventure Time'
                     watch)
                ...and thirty-six minutes for this shit.",-0.2,[ 0.21627896 -0.10167428],[ 1.8126222 -1.8732708],0.0905607342720031,-6.875099182128906,-4.575849533081055,-4.450836181640625,-2.8337056636810303,-4.480806350708008,-7.339260101318359,-5.323046684265137,-4.967104434967041,-6.180412292480469,-5.565552234649658,-5.811655521392822,-5.898113250732422,-7.083680629730225,-4.607644081115723,-6.731359481811523,-8.104198455810547,-8.166210174560547,-5.636882781982422,-7.602235794067383,-7.609462738037109,-5.454411506652832,-8.151738166809082,-4.706317901611328,-7.892828941345215,-9.201728820800781,-7.009707927703857,-5.0692138671875,1.8420746326446533
DEADPOOL (CONT'D),"Nice.

    Dopinder eyes his DAFFODIL DAYDREAM AIR FRESHENER and takes a
    deep breath through his nose.",0.3,[-0.11263695  0.26667026],[ 1.7087408 -1.8006445],0.1109587848186492,-0.24183516204357147,-6.596558094024658,-7.429541110992432,-5.5045037269592285,-1.9570232629776,-6.946489334106445,-6.559757232666016,-6.83901309967041,-7.354561805725098,-5.973957538604736,-5.65425443649292,-6.622008800506592,-8.099352836608887,-6.201979160308838,-7.717830181121826,-5.541375160217285,-8.544699668884277,-6.105599403381348,-6.36669921875,-8.952421188354492,-5.788105487823486,-6.540436744689941,-4.633064270019531,-7.363306522369385,-8.68326473236084,-7.283395290374756,-7.629586696624756,0.16649389266967773
DOPINDER,"Smells good, no?",0.7,[0.19895247 0.03062178],[ 1.3246862 -1.3237399],0.0911337435245513,-1.3902987241744995,-5.941965579986572,-6.832752704620361,-5.556089878082275,-0.7284636497497559,-4.808509826660156,-1.4141064882278442,-0.5290328860282898,-6.202711582183838,-6.455650329589844,-4.878645420074463,-6.622194290161133,-7.733858585357666,-4.890903949737549,-6.602024078369141,-6.27862548828125,-7.7736101150512695,-5.357956886291504,-4.6264448165893555,-6.937511920928955,-4.56585168838501,-7.644509315490723,-4.462635517120361,-6.896317958831787,-7.377988338470459,-6.520269870758057,-5.797791481018066,-2.472041130065918
DEADPOOL,"Not the Daffodil Daydream.      The girl.

    A PICTURE of a young INDIAN WOMAN is taped to the dash.",0.1,[-0.08128333  0.25827092],[ 0.99231756 -0.7930349 ],0.0969937443733215,-6.422085285186768,-6.335600852966309,-5.198374271392822,-4.020639896392822,-3.849618911743164,-6.860299110412598,-5.815512657165527,-6.51775598526001,-7.6754374504089355,-5.646872520446777,-3.710407018661499,-6.402173042297363,-7.507260322570801,-7.014383316040039,-7.069085597991943,-7.842851638793945,-8.26228141784668,-6.978553771972656,-7.719804763793945,-8.425098419189453,-6.469610214233398,-8.594481468200684,-4.9365315437316895,-8.38602066040039,-8.673624038696289,-6.699642658233643,-7.131292343139648,2.7326269149780273
DOPINDER,"Ah yes. Gita. She is quite lovely. She
                 was supposed to make me a very agreeable
                 wife. Mom and Dad chose her rather
                 excellently. But Gita's heart has been
                 stolen by my cousin Bandhu. Bandhu is as
                 dishonorable as he is attractive.",0.625,[ 0.5807863  -0.28452903],[ 0.96959734 -1.1323539 ],0.0936156213283538,1.0174990892410278,-7.222498416900635,-5.5226054191589355,-3.8760945796966553,-1.4952174425125122,-6.172794342041016,-6.13124418258667,-6.615038871765137,-6.773090839385986,-3.8771424293518066,-3.6945552825927734,-5.672671794891357,-7.034422874450684,-6.510437488555908,-7.040448188781738,-5.890357971191406,-7.443809509277344,-6.719649791717529,-5.215745449066162,-8.538399696350098,-5.206875324249268,-5.808752059936523,-4.293318748474121,-7.102031707763672,-7.62967586517334,-5.750468730926514,-7.041869640350342,-1.1653780937194824
