Name,Line,Sentiment,Irony,Hate,Intimacy,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
COMMODUS,"Do you think he's really dying?

The woman across from him returns his gaze evenly.  She is
slightly older, beautiful and patrician.  A formidable
woman.

She is LUCILLA.",0.4055555555555556,[ 0.6098157  -0.17618188],[ 0.92013603 -0.94093174],0.1087429225444793,0.6473230123519897,-6.81277322769165,-6.240752220153809,-5.527947902679443,-2.415189027786255,-5.606386661529541,-2.741142749786377,-0.8559852838516235,-6.592599391937256,-5.646322727203369,-5.065982818603516,-6.368254661560059,-7.5460991859436035,-5.374295711517334,-6.186629772186279,-6.560810565948486,-7.365931987762451,-6.739748001098633,-5.137315273284912,-7.3213791847229,-5.307184219360352,-7.45688009262085,-4.838298797607422,-7.715546131134033,-7.5385661125183105,-5.725649356842041,-5.118790149688721,-1.8256480693817139
LUCILLA,He's been dying for ten years.,0.0,[0.58783203 0.2783288 ],[ 1.7843598 -1.7577846],0.0908098816871643,-3.99357008934021,-4.927929401397705,-5.173294544219971,-4.513998508453369,-4.064988136291504,-4.650171756744385,-5.845024108886719,-5.410334587097168,-5.304802417755127,-2.84289813041687,-5.452243328094482,-5.025350570678711,-5.461312770843506,-5.702208518981934,-4.777609825134277,-5.160016059875488,-2.3512139320373535,-4.617725372314453,-5.174870491027832,-5.010212421417236,-5.878652095794678,-6.303411960601807,-3.001375913619995,-5.271385192871094,-4.511286735534668,2.0232057571411133,-4.820690155029297,-1.8809000253677368
COMMODUS,"I think he's really dying this time.

A beat.  Their breath turns instantly to mist.",0.1,[0.1059728  0.38239995],[ 1.7161283 -1.7499021],0.091969221830368,-5.653254508972168,-6.306723594665527,-6.48413610458374,-4.905615329742432,-3.8965489864349365,-5.73127555847168,-6.250570297241211,-6.592134952545166,-5.153128147125244,-4.623981952667236,-5.716709136962891,-5.7050089836120605,-7.139527320861816,-6.282427787780762,-5.207028865814209,-7.439918518066406,-6.2300920486450195,-6.150904178619385,-6.559776306152344,-6.159994602203369,-5.761728286743164,-7.653918743133545,-4.117973327636719,-6.823317527770996,-7.36372184753418,-3.604987382888794,-6.695840358734131,2.730861186981201
COMMODUS,He has to be bled every night now.,0.0,[ 1.4262658 -0.4200782],[ 1.1184738 -1.10156  ],0.1032082140445709,-6.183346271514893,-6.475186347961426,-6.233676910400391,-4.265007495880127,-3.803701639175415,-6.530738830566406,-6.846469879150391,-7.313439846038818,-6.493077754974365,-4.609973907470703,-5.322028636932373,-5.724721908569336,-6.915225028991699,-7.566932678222656,-6.521034240722656,-7.523054122924805,-7.457064151763916,-6.918716907501221,-7.072238922119141,-7.625134468078613,-6.084319591522217,-8.05141544342041,-4.366367340087891,-7.489816665649414,-7.331762313842773,-4.839474201202393,-7.895317077636719,2.5687923431396484
LUCILLA,How do you know that?,0.0,[ 1.9384161 -1.1804324],[ 1.3765961 -1.381101 ],0.0884254872798919,-6.541548728942871,-6.5067644119262695,-5.85038423538208,-4.425038814544678,-5.28188943862915,-6.692599296569824,-0.7740118503570557,0.29546302556991577,-7.112296104431152,-6.049581050872803,-5.497459888458252,-6.627030372619629,-7.035646438598633,-6.7367634773254395,-6.8191914558410645,-6.854495525360107,-8.168292999267578,-7.277540683746338,-6.747175216674805,-7.6790385246276855,-6.219446659088135,-9.917016983032227,-5.288589000701904,-8.931952476501465,-7.699868202209473,-6.728206157684326,-4.785562515258789,-0.7582964301109314
COMMODUS,"I've been so informed.

She arches an eyebrow.",0.0,[ 0.96456826 -0.1565209 ],[ 1.8979203 -1.827437 ],0.0943256020545959,-4.817220687866211,-5.831369400024414,-6.995788097381592,-5.075841426849365,-1.641414761543274,-6.025367259979248,-6.610730171203613,-7.227102279663086,-7.006400108337402,-6.316470623016357,-6.539320468902588,-6.623280048370361,-7.227184772491455,-5.3686723709106445,-6.31456995010376,-7.036491394042969,-7.919370174407959,-4.7450079917907715,-6.78605842590332,-6.949023723602295,-5.754662990570068,-6.451910018920898,-3.4205594062805176,-5.854747295379639,-8.074060440063477,-6.713581562042236,-6.882444381713867,1.5965464115142822
COMMODUS,"If he weren't really dying he
		wouldn't have sent for us.",0.2,[ 1.4275532  -0.73724556],[ 1.350173  -1.4574958],0.0907191932201385,-6.455207347869873,-6.239006042480469,-6.777154922485352,-4.998136043548584,-4.644135475158691,-6.617469787597656,-5.487459182739258,-6.810118675231934,-6.364439964294434,-3.729095458984375,-3.6088528633117676,-6.510964393615723,-6.6840291023254395,-7.145857334136963,-6.306536674499512,-6.607210159301758,-6.835756778717041,-6.4546661376953125,-7.269763946533203,-7.033031940460205,-5.161386966705322,-7.875854969024658,-3.659976005554199,-6.739701747894287,-6.289610862731934,-4.359862804412842,-6.063024520874023,2.2596592903137207
LUCILLA,"(a smile)
		Maybe he just misses us.",0.3,[ 1.5736562  -0.62891304],[ 1.7746675 -1.7996768],0.0935832560062408,-6.741988182067871,-4.596151351928711,-6.33927583694458,-5.305253505706787,-5.015166282653809,-5.050230026245117,-5.072301864624023,-5.363886833190918,-4.775195121765137,-3.6228232383728027,-4.9856953620910645,-6.284278869628906,-6.380863666534424,-6.201833248138428,-5.870516300201416,-6.934657096862793,-5.068317413330078,-4.074301242828369,-5.384572982788086,-5.568045616149902,-5.460840225219727,-7.9128737449646,-4.342990875244141,-6.101668834686279,-5.005051612854004,-1.4272171258926392,-6.289094924926758,1.5393706560134888
COMMODUS,"And the Senators.  He wouldn't have
		summoned them if --",0.0,[-0.42551842  0.781157  ],[ 1.4510573 -1.4627664],0.0888165235519409,-6.3687944412231445,-6.163049221038818,-6.399956226348877,-4.759929180145264,-4.507469177246094,-6.699872970581055,-5.640295505523682,-6.762436866760254,-6.984088897705078,-4.975056171417236,-3.575406312942505,-6.802065849304199,-7.260798454284668,-7.0504326820373535,-7.155209064483643,-6.7908711433410645,-7.811864376068115,-6.443142890930176,-7.576478958129883,-7.958404064178467,-5.674478530883789,-8.205551147460938,-4.486416816711426,-7.5198845863342285,-7.572835922241211,-6.0675950050354,-6.9892578125,2.9623894691467285
LUCILLA,"Peace, Commodus.  After two weeks on
		the road your incessant scheming is
		hurting my head.

A beat.",0.0,[0.09348653 0.4070095 ],[ 0.7663361 -1.1037363],0.1082882583141326,-6.5423994064331055,-6.554681301116943,-4.356969356536865,-1.6226811408996582,-4.387369155883789,-4.865707874298096,-6.616734504699707,-7.005209922790527,-6.202803134918213,-1.0712774991989136,-4.081535816192627,-5.483623504638672,-5.754261493682861,-7.136903762817383,-6.516748905181885,-6.965570449829102,-5.743546009063721,-5.144898414611816,-7.123476505279541,-5.324527740478516,-5.610214710235596,-7.297743797302246,-3.9652798175811768,-5.863053798675537,-6.182538032531738,-1.4725819826126099,-7.2656354904174805,-0.5036603808403015
