Name,Line,Sentiment,Irony,Hate,Intimacy,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
TIGRESS,You'll be late for work!,-0.375,[-0.34305045  0.5273892 ],[ 1.694342 -1.328386],0.089262455701828,-6.666511058807373,-6.740261554718018,-5.515442371368408,-2.931133508682251,-5.001303195953369,-6.217928409576416,-6.512959003448486,-6.344005107879639,-6.106230735778809,-3.375791311264038,-4.772537708282471,-6.02730655670166,-6.4842963218688965,-6.582396984100342,-6.54628324508667,-7.898493766784668,-7.492084980010986,-7.013258934020996,-8.113768577575684,-7.041937828063965,-5.3052659034729,-8.317183494567871,-4.960747718811035,-7.628283977508545,-7.248255729675293,-4.756618022918701,-6.849575042724609,2.228057384490967
PO,Whu?,0.0,[ 1.8878032  -0.82838094],[ 1.1921647 -1.2406942],0.0891371071338653,-6.295886039733887,-6.368436336517334,-5.64761209487915,-4.684597492218018,-4.941408634185791,-6.988325595855713,-1.5334922075271606,-0.5744125843048096,-6.9917731285095215,-6.605672836303711,-5.966729640960693,-6.559136390686035,-7.3207011222839355,-6.147579669952393,-7.0397467613220215,-7.402791976928711,-8.305501937866211,-7.128114700317383,-6.342541694641113,-8.088889122009277,-6.391356945037842,-9.616164207458496,-5.633291244506836,-8.956082344055176,-8.200379371643066,-7.175865650177002,-4.97585391998291,0.754377543926239
PO,"Uh, nothing!",0.0,[ 1.0135087  -0.21234637],[ 1.6063904 -1.5384437],0.0911724269390106,-7.115570068359375,-6.909088134765625,-4.647221088409424,-2.7159855365753174,-3.727205514907837,-6.715534210205078,-5.596758842468262,-6.959150314331055,-7.577215671539307,-3.986666679382324,-1.0322527885437012,-6.069355010986328,-6.19386625289917,-7.030529022216797,-6.8376078605651855,-7.623049259185791,-7.710315227508545,-6.706597328186035,-7.894298553466797,-7.26264762878418,-6.77087926864624,-8.116606712341309,-3.875953197479248,-7.096430778503418,-7.913847923278809,-5.4101738929748535,-5.9961042404174805,0.5980945229530334
PO (CONT'D),"Monkey! Mantis! Crane! Viper!
                    Tigress! Rowrrrr...",-0.152587890625,[ 0.30044597 -0.07848327],[ 1.1515313 -1.3001398],0.09263876080513,-5.049468040466309,-4.920683860778809,-5.364741325378418,-5.219718933105469,-4.400557041168213,-6.825104236602783,-5.736988067626953,-5.329999923706055,-6.836664199829102,-6.430685043334961,-6.6082892417907715,-6.002368927001953,-7.1137309074401855,-3.738723039627075,-5.771870136260986,-7.432461738586426,-7.534341335296631,-4.651615142822266,-6.047211170196533,-7.391468048095703,-6.615357398986816,-7.150304794311523,-5.622641086578369,-7.56922721862793,-8.378422737121582,-6.561323642730713,-5.452212333679199,2.4670491218566895
PO,Coming!,0.0,[0.6437387  0.08820233],[ 1.0237584  -0.99766386],0.0912002027034759,-6.152482509613037,-6.2331342697143555,-5.738490581512451,-5.356810092926025,-4.980605125427246,-5.8735270500183105,-6.165091514587402,-5.767797470092773,-5.2668633460998535,-5.97829008102417,-6.7721452713012695,-6.064016342163086,-7.16121768951416,-4.134056568145752,-4.932692050933838,-6.250113487243652,-6.927883148193359,-5.3207221031188965,-6.197190284729004,-6.656339645385742,-5.456116199493408,-7.516376972198486,-5.573235034942627,-7.417664527893066,-7.2674336433410645,-5.361639022827148,-5.562732696533203,2.5887999534606934
PO,"Sorry, Dad.",-0.5,[-0.2907883   0.94505715],[ 1.5750098 -1.4924384],0.1099699288606643,-5.318047523498535,-5.4389567375183105,-5.7055182456970215,-5.078331470489502,-3.967099905014038,-3.7127392292022705,-5.326298236846924,-5.185333251953125,-5.357631206512451,-3.984945058822632,-4.467108726501465,-5.972079277038574,-4.787201404571533,-6.449709415435791,-6.529756546020508,-4.5201945304870605,-5.048878192901611,-5.609719276428223,-5.46920108795166,-5.981971263885498,-4.890675067901611,-7.32908821105957,-4.476734161376953,-6.085952281951904,1.216517686843872,-0.9517519474029541,-6.98478889465332,-3.2449307441711426
PO'S DAD,Sorry doesn't make the noodles.,-0.5,[0.31252277 0.2692946 ],[ 1.141741 -1.076383],0.0910297930240631,-5.661589622497559,-5.271017074584961,-5.71462869644165,-4.883049488067627,-4.332022666931152,-4.62984561920166,-5.0935587882995605,-5.1296892166137695,-5.532347202301025,-3.2446441650390625,-3.8864564895629883,-6.050724029541016,-4.025207042694092,-6.491299152374268,-6.797303676605225,-4.861371040344238,-5.426187038421631,-5.6944122314453125,-5.450545310974121,-6.138332843780518,-4.90429162979126,-7.502502918243408,-4.12195348739624,-6.270496845245361,1.2920695543289185,-1.2482842206954956,-6.590415954589844,-3.1796863079071045
PO'S DAD (CONT'D),"What were you doing up there? All
                    that noise.",0.0,[ 0.42501432 -0.08680333],[ 1.5838012 -1.4855827],0.0908178389072418,-5.970798492431641,-5.766561508178711,-5.562557697296143,-4.180204391479492,-4.747208595275879,-6.264049530029297,-1.9677691459655762,0.2564907968044281,-7.144883632659912,-6.082569122314453,-6.064505577087402,-6.65342903137207,-6.972679615020752,-5.839752674102783,-6.345803737640381,-7.514806747436523,-7.789159297943115,-6.5445966720581055,-7.13292121887207,-6.971875190734863,-6.306877136230469,-9.495292663574219,-5.282285690307617,-8.409743309020996,-8.056547164916992,-6.401315689086914,-4.581718921661377,-0.23327946662902832
PO,"Oh, nothing. Just had a crazy
                    dream.",-0.6,[-0.58641505  0.78484464],[ 1.8484164 -1.653747 ],0.1018005758523941,-6.381006240844727,-3.6137936115264893,-5.693005084991455,-4.298738956451416,-4.688277244567871,-6.331911087036133,-5.070928573608398,-4.427279472351074,-5.195251941680908,-4.99180269241333,-5.8728928565979,-6.099931716918945,-6.526695728302002,-2.150329351425171,-4.663754463195801,-7.211034774780273,-6.222860813140869,-2.7728028297424316,-6.684377670288086,-4.640207290649414,-5.6497673988342285,-6.902081489562988,-3.560997486114502,-5.5514936447143555,-7.821885585784912,-4.8865790367126465,-2.617722511291504,0.3688875734806061
PO'S DAD,About what?,0.0,[ 1.1474689  -0.40297517],[ 1.5770007 -1.4785849],0.0913922488689422,-6.577778339385986,-6.388022422790527,-5.887050628662109,-4.805853366851807,-4.845735549926758,-6.854328632354736,-1.666286587715149,-0.8753001689910889,-6.892319202423096,-6.561129570007324,-6.001916408538818,-6.681825637817383,-7.3972649574279785,-6.166756629943848,-6.97080659866333,-7.352778911590576,-8.262768745422363,-7.065790176391602,-6.430869102478027,-7.946901321411133,-6.180212020874023,-9.547432899475098,-5.399603843688965,-8.7985258102417,-8.16580867767334,-7.142426490783691,-5.024890422821045,1.1971666812896729
