Name,Line,Sentiment
MIA,"...and I swear to God, she was wrecked.
               It was pure insanity.

     Mia stops. Thinks. Mutters to herself: ""Insanity""... Then
     leans down and grabs a piece of paper from the passenger
     seat. It's a SCRIPT.",0.029365079365079344
MIA (CONT'D),"(reading now)
               Pure lunacy. Oh God, I know...

     Just then -- the traffic around Mia starts to let up. She's
     too focused on her lines to notice.

     Then -- a long, sustained honk behind her: AHHHHHHHHHHHHHHHT.

     Mia comes to. Jerked back to reality. The honking car behind
     her swerves into the next lane. It's Sebastian. Mia gives him
     the finger. We then FOLLOW her as she drives...",-0.10595238095238096
MIA,"Don't worry, it is. I know sometimes it --",0.0
MIA,"Shit.

    Removing her apron and hurrying out, turning back as --",-0.1
MIA,It's -- five past...,-0.25
MIA,"Ok.

    -- then realizes she doesn't have her script, runs back to
    grab it, hurries on and then -- CRASHES into a table. Coffee
    and food spill all over her shirt, and all at once we're --",0.0
MIA (CONT'D),"And I swear to God, she was wrecked. It
              was pure lunacy. Oh God, I know...
                                Revision                      4.


    Her nerves are practically visible. As she talks, we PULL
    BACK -- to see that she's auditioning for a CASTING DIRECTOR.",0.10714285714285714
MIA (CONT'D),"No, no, Turner's fine. So you -- are you
              waiting `til Denver to tell her...?
                     (as her smile contracts)
              Oh. I see...
                     (silence; she clenches her jaw...)
              No, you're right. I understand.
                     (...and a tear falls from her eye)
              Ok... I just... Oh...

    An ASSISTANT appears through the glass on the door behind
    Mia, waving to the Casting Director: Yoohoo. Can I come in?",0.2204761904761905
MIA (CONT'D),"(crying now)
              No, I'm happy for you... I -- I just --",-0.30000000000000004
MIA,I wanted to give you an entrance.,0.0
MIA,Eh...,0.0
MIA,I don't know who Jen and Rachel are.,0.0
MIA,"I don't know if they were there.

    As Mia slips away --",0.0
MIA,Can't. Working.,0.0
MIA,"(opening up)
               Yes?",0.0
MIA,"It'll be a bunch of social climbers packed
               into one of those glass houses.",0.03333333333333333
MIA (CONT'D),No...,0.0
SEBASTIAN,"You gotta stop breaking into my home.

      She looks up. She's 37 quickly going on 50, and dressed like
      she doesn't care. This is LAURA, Sebastian's older sister.",0.25
LAURA,"You think Mom or Dad would call this a
                home?

      Seeing that she's seated on a stained, decrepit stool --",0.0
SEBASTIAN,Please don't sit on that.,0.0
LAURA,Are you serious?,-0.3333333333333333
SEBASTIAN,"Yes. Hoagy Carmichael sat on that stool.
                The Baked Potato was gonna throw it away.",0.0
LAURA,"I wonder why.
                       (then, rising,)
                I brought you this. It's a throw rug.",0.0
SEBASTIAN,Don't need it.,0.0
LAURA,"Yeah? What if I told you Miles Davis
                pissed on it?",0.0
SEBASTIAN,"That's almost insulting...
                       (then,)
                Did he?
                         Revision                        11.


She shakes her head: Unbelievable. Tosses the rug to the side.",-0.625
LAURA,When are you going to unpack these boxes?,0.0
SEBASTIAN,When I unpack them in my club.,0.0
