Name,Line,Sentiment
GANDALF,You cannot pass!,0.0
FRODO,Gandalf!,0.0
GANDALF,"I am a servant of the Secret Fire, wielder 
                         of the Flame of Anor!",-0.5
GANDALF,"Argh! Go back to the shadow. The Dark 
                         Fire will not avail you, Flame of Ud�n! 
                         [Camera zooms in through the mountain 
                         and focuses on Gandalf and the Balrog 
                         on the bridge of Khazad-d�m. The Balrog 
                         strikes down on Gandalf with its flaming 
                         sword. Gandalf parries the blow with 
                         Glamdring, shattering the Balrog�s sword.]",-0.11435185185185186
GANDALF,"Argh!

                         [Frodo rushes forward but Boromir restrains 
                         him.]",0.0
FRODO,Gandalf!,0.0
GANDALF,"Fly, you fools!

                         [Gandalf loses his grip and falls into 
                         the chasm]",0.35
FRODO,"Noooooooooooooooo!!!!

                         [Gandalf loses his grip and falls into 
                         the chasm]",-0.3
FRODO,"[Calls after Gandalf as he falls into 
                         the abyss] Gaaandaaaaalf!!",0.0
FRODO,Gandalf!,0.0
SAM,"What is it, Mr. Frodo?",0.0
FRODO,Nothing. Just a dream. [Lies back down.],-0.07777777777777779
SAM,"Mordor. The one place in Middle-earth 
                         we don�t want to see any closer, and 
                         the one place we�re trying to get to. 
                         It�s just where we can�t get. Let�s 
                         face it, Mr. Frodo, we�re lost. I don�t 
                         think Gandalf meant for us to come this 
                         way.",0.0
FRODO,"He didn�t mean for a lot of things to 
                         happen, Sam... but they did.",-0.3125
SAM,"Mr. Frodo? It�s the Ring, isn�t it?",0.0
FRODO,"It�s getting heavier. [Clutches the 
                         Ring by his chest and sits down, still 
                         panting. He then fumbles for his water 
                         bottle and takes a sip.]",-0.15555555555555559
FRODO,What food have we got left?,0.0
SAM,"Well, let me see. [He takes out a package 
                         of lembas bread from his pack] Oh yes, 
                         lovely � Lembas bread. And look! [He 
                         digs deeper into his pack] More lembas 
                         bread.",0.5625
SAM,"I don't usually hold with foreign food, 
                         but this Elvish stuff, it�s not bad.",-0.00833333333333336
FRODO,"[smiles] Nothing ever dampens your spirits, 
                         does it Sam?",0.0
SAM,"Those rain clouds might.

                         [They continue trekking through difficult 
                         terrain, often huddling underneath their 
                         cloaks.]",-0.5
SAM,"[Looks around] This looks strangely 
                         familiar.",0.375
FRODO,"[Exasperated] It�s because we�ve been 
                         here before! We�re going in circles.",0.0
SAM,"Ah! What's that 'orrid stink? I'll warrant 
                         there's a nasty bog nearby. Can you 
                         smell it?",-1.0
FRODO,"Yes. I can smell it. [Drops to a whisper] 
                         We�re not alone.",0.0
GOLLUM,"The thieves! The thieves! The filthy 
                         little thieves! Where is it? Where isss 
                         it? They stole it from us. My preciousss. 
                         [Gollum creeps closer and closer.] Curse 
                         them! We hates them! It�s ours, it is... 
                         and we wantssss it!",-0.6288818359375
FRODO,"[menacingly] This is Sting. You�ve seen 
                         it before, haven�t you... Gollum! Release 
                         him or I�ll cut your throat!",-1.0
GOLLUM,"It burns! It burns us! It freezes! Nasty 
                         Elves twisted it. Take it off us!",-0.8125
SAM,"Quiet you!

                         [Sam tugs fiercely at the rope. Gollum 
                         cries some more and collapses onto his 
                         back. Sam turns to Frodo in dismay.]",0.16666666666666666
SAM,"It�s hopeless! Every Orc in Mordor�s 
                         going to hear this racket! Let�s just 
                         tie him up and leave him.",0.0
GOLLUM,No! That would kill us! Kill us!,0.0
