Name,Line,Sentiment,Irony,Hate
DANNY,Good morning.,0.7,[-0.18748204  0.65074134],[ 1.10735   -1.0472717]
DANNY,Daniel Ocean.,0.0,[0.5244908  0.18573698],[ 1.0956501 -1.1053098]
DANNY,"As you say, ma'am, I was never
               charged.",0.0,[0.19789867 0.44238266],[ 1.5032083 -1.4065048]
DANNY,"My wife left me. I was upset.    I
               got into a self-destructive
               pattern.",0.0,[0.17111716 0.27190915],[ 0.9908215 -0.95519  ]
DANNY,"She already left me once. I don't
                 think she'll do it again just for
                 kicks.

    Glances dart between the Board Members.",0.0,[ 0.6856932  -0.14649385],[ 0.5651984  -0.63941014]
DANNY,"(deadpan)
                 I don't know. How much do you
                 guys make a year?",-0.175,[ 1.2540962  -0.80265546],[ 1.9069215 -1.9558843]
DANNY,"My wife's.

    He opens the letter, and as his eyes gaze over the papers
    within, he smirks just a little.",-0.1875,[-0.17503814  0.3990011 ],[ 1.5199343 -1.5736084]
DANNY,I'm a free man.,0.4,[0.40665698 0.39842483],[ 1.5925568 -1.6718408]
DANNY,"Hello, Frank.

    The new dealer (FRANK CATTON) glances up at Danny, and
    his eyes go wide, like a priest who's discovered he's
    dealing communion wafers to the pontiff himself. He
    quickly hides his astonishment.",0.1232323232323232,[0.11087395 0.21727005],[ 2.0220864 -2.0934389]
FRANK,"I beg your pardon, sir. You must
              have me confused with someone
              else. My name is Ramon. See?

    He taps the name embroidered on his vest, although he is
    the most African-looking Ramon you've ever seen. A pit
    boss circles close by and glares at them both.",0.0499999999999999,[ 0.9602648  -0.46892202],[ 1.5030209 -1.6833857]
DANNY,"My mistake...
                     (collecting his chips,
                      doubled)
              Table's cold anyway.",-0.6,[ 0.5614446  -0.09160993],[ 1.6690999 -1.7922815]
FRANK,"You might try the lounge at the
              Grand, sir. It gets busy around
              one.",0.3,[0.00953975 0.30196366],[ 1.7718791 -1.7586737]
DANNY,"(as he goes)
              Thanks.",0.2,[-1.098833  1.26044 ],[ 1.8667847 -1.9132313]
DANNY,Ramon?,0.0,[ 1.7973392 -0.9068154],[ 1.3989253 -1.4313208]
FRANK,"Glad to meet you. Frank Catton
                 wouldn't get by the gaming board.
                        (beat)
                 You just out?",0.5,[ 0.47788864 -0.11230478],[ 1.992474 -2.071245]
DANNY,This afternoon.,0.0,[-0.12928207  0.7976768 ],[ 1.4047159 -1.2898792]
FRANK,"(re: Danny's drink
                         and whereabouts)
                 And already turning over a new
                 leaf.

    Frank signals a passing waitress; she ignores him.",0.1363636363636363,[ 0.5255682  -0.23735186],[ 1.5606095 -1.544727 ]
DANNY,"(directly, this is
                         why he's here)
                 You seen him?",0.1,[ 0.7142491  -0.45291916],[ 1.871285  -1.9903307]
FRANK,"Last I heard he was in L.A.
                 Teaching movie stars how to
                 play cards.
                        (beat)
                 Why? You don't have something
                 planned already?",0.0,[0.06017944 0.09872087],[ 1.7591356 -1.7739283]
DANNY,"You kidding? I just became a
                 citizen again.

    Frank stares at Danny a moment, finally catches his eye,
    and Danny can't help but grin: of course he has.",0.0,[-0.37384793  0.572368  ],[ 1.8668369 -1.9678005]
FRANK,Jesus...,0.0,[ 0.9919755  -0.12001679],[ 1.5610319 -1.5047482]
FRANK,"It's tough now, our line of work.
                  Everybody so serious. Too many
                  guns, too many computers. Whadda
                  you gonna do? Steal from ordinary
                  people?",0.0055555555555555,[ 0.33868092 -0.13710028],[ 1.4573334 -1.5104786]
DANNY,That would be criminal.,-0.4,[0.510335   0.16529274],[ 0.977105  -0.9475049]
FRANK,"So what's left? Banks? Hah.
                  Banks got no money. It's all
                  electronic. Only place that still
                  takes cash is...",0.0,[-0.91357356  0.85910344],[ 1.3588737 -1.5359734]
DANNY,Casinos.,0.0,[-0.78643084  1.0872978 ],[ 1.1457471 -0.9991118]
FRANK,"(realizing)
                  Oh, no...",0.0,[0.03786457 0.37355223],[ 1.892979 -1.797827]
DANNY,"Oh, yes...",0.0,[-0.56243163  1.006554  ],[ 1.5503806 -1.4522684]
FRANK,When?,0.0,[ 1.9772674  -0.96961343],[ 1.233934  -1.1505477]
DANNY,"Soon.   Interested?

     Frank smiles.    Danny has his answer.",0.25,[ 0.32531363 -0.12816069],[ 1.9555917 -1.953935 ]
DANNY,"Yes, Officer Brooks? My name is
                   Danny Ocean. I'm just out, I'm
                   supposed to check in with you
                   within twenty-four hours.
                          (listens)
                   No, sir, I haven't gotten into
                   any trouble. No drinking, no sir.
                          (listens, finishes
                           his bourbon)
                   No, sir, I wouldn't even think of
                   leaving the state.

      OFF the sound of a JET fly-over we...",0.1,[ 1.3670472 -1.0289397],[ 1.8039328 -1.9391837]
TOPHER,"Hey, I don't know if you're, uh,
                   you know, incorporated or anything,
                   like Rusty Ryan. And, I don't know,
                   incorporated, but you should think
                   about it, really, 'cause I was
                   talking to my manager yesterday --",0.2,[ 0.84201765 -0.68526095],[ 1.9995586 -2.1221936]
RUSTY,Bernie?,0.0,[ 1.1643265  -0.40102416],[ 1.1675707 -1.1755459]
TOPHER,"No, not Bernie, I mean not, not
                   that Bernie, my business manager,
                   he's also Bernie, he was telling
                   me that since this, what we do,
                   could be considered research for,
                   you know, a future gig, that I
                   should be able to write it off as
                   a business expense. So he suggested
                   that it'd be better if I wrote you
                   a check, and thereby --

      Rusty looks at him:     are you stoned?",0.171875,[ 0.7318905  -0.69401544],[ 1.8817215 -2.0982358]
TOPHER,"Or, or we could keep it cash.

      By this time, they should have entered --",0.0,[ 0.7747561  -0.46484855],[ 1.1765529 -1.2951323]
RUSTY,Alright.   Who's here?,0.0,[0.08111075 0.26040313],[ 1.8029764 -1.7396244]
TOPHER,"Josh is here. Seth is here.
                   David couldn't make it. He's got
                   two weeks of reshoots on Lusitania
                   because somebody just figured out
                   forty percent of the budget is
                   coming from Germany.",0.0,[-0.6685423   0.65156484],[ 1.7919599 -1.8499978]
RUSTY,That's a problem.,0.0,[ 1.0381955  -0.23531717],[ 1.3326007 -1.2996086]
TOPHER,Barry is here.,0.0,[ 0.7479075  -0.11416541],[ 1.4852942 -1.5415072]
RUSTY,"I thought they let him out to do
                   that H.B.O. thing in Vancouver.",0.0,[-1.5535051  1.567224 ],[ 1.9472743 -1.9603155]
TOPHER,"Couldn't work the dates. Oh, and
                   he brought his girlfriend.",0.0,[-0.3013438  0.4179871],[ 1.6367373 -1.5142304]
RUSTY,Not the one from --,0.0,[ 1.5486791  -0.72324157],[ 1.7180786 -1.7466056]
TOPHER,Uh-huh.,0.0,[0.3340333  0.20642841],[ 1.1282914 -1.0878879]
RUSTY,"(beat)
                   I quit watching when Kate left Don
                   after his accident.

      They pass on, and into --",0.0,[0.27939242 0.05346457],[ 1.788706  -1.8049517]
