Unnamed: 0,Name,Movie,Line,Sentiment,Irony,Hate,Intimacy
0,Johann Schmidt,captain_america.txt,It has taken me a long time to find this place. [to the Tower Keeper] You should be commended. [to one of his soldiers] Help him up.,-0.05,[ 1.7173058 -1.0277983],[ 2.126363  -2.3707368],0.15173780918121338
1,Johann Schmidt,captain_america.txt,I think that you are man of great vision. And in this way we are much alike.,0.5,[ 1.1453414  -0.30844674],[ 1.4985373 -1.5329098],0.16675592958927155
2,Johann Schmidt,captain_america.txt,"No, of course. But what others see as superstition, you and I know to be a science.",0.0,[ 0.88424826 -0.39084047],[ 1.5654645 -1.5303712],0.06469365954399109
3,Johann Schmidt,captain_america.txt,"Then why make such an effort to conceal it? [opens an old tomb and picks up the glass cube from the skeletal remains of an old Viking] The Tesseract was the jewel of Odin’s treasure room. [he turns to face the tower keeper and deliberately drops and smashes the glass cube] It’s not something one buries. But I think it is close, yes?",0.0666666666666666,[ 1.7738056 -1.1804866],[ 1.5377768 -1.7896094],0.04028251767158508
4,Johann Schmidt,captain_america.txt,No. But maybe you can help your village. You must have some friends out there. Some… some little grandchildren perhaps. I have no need for them to die. [A big tank outside turns his guns towards the village threateningly.],-0.0625,[ 1.9316452 -1.2332677],[ 1.185162  -1.4517521],0.12205611169338226
5,Johann Schmidt,captain_america.txt,"Yggdrasil. Tree of the world. Guardian of wisdom and fate, also. [he presses a button on the carving of the tree and it opens up to reveal the real cube] And the Führer digs for trinkets in the desert. You have never seen this, have you?",0.2,[ 1.4868244 -0.8906033],[ 1.7689757 -1.988392 ],0.049727439880371094
6,Johann Schmidt,captain_america.txt,Exactly. [he closes the box containing the glowing cube and turns to his soldiers] Gove the order to open fire.,0.125,[ 1.2748133 -0.5340548],[ 1.4104435 -1.6200607],0.03180760145187378
7,Johann Schmidt,captain_america.txt,I already have. [He shoots and kills the tower keeper],0.0,[ 1.27519    -0.38448012],[ 1.2942117 -1.541016 ],0.02977573871612549
8,Steve Rogers,captain_america.txt,"Boy, a lot of guys getting killed over there.",-0.2,[-0.31834745  0.8149134 ],[ 1.3400449 -1.3550369],0.08121860027313232
9,Steve Rogers,captain_america.txt,Nope.,0.0,[0.5296393  0.10025536],[ 0.9449149 -0.8784879],0.07461822032928467
