Name,Line,Sentiment,Irony,Hate,Intimacy,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
Bucky Barnes,Я готов отвечать. ([subtitled] Ready to comply.),0.2,[ 1.618809  -1.1403191],[ 1.6935232 -2.004978 ],-0.0552162230014801,-5.779176712036133,-6.5132832527160645,-6.872124195098877,-5.138051509857178,-1.7996361255645752,-6.91712760925293,-6.382325172424316,-6.54548454284668,-6.846838474273682,-6.527403354644775,-5.759610652923584,-6.162679672241211,-7.846630573272705,-6.316329479217529,-7.123962879180908,-7.533684730529785,-8.821481704711914,-7.015015602111816,-6.4075164794921875,-8.46826457977295,-5.617285251617432,-8.124571800231934,-4.28414249420166,-7.7282209396362305,-8.779841423034668,-7.339653968811035,-7.278093338012695,1.8568474054336548
Steve Rogers,"[on radio] All right, what do you see?",0.2857142857142857,[ 1.7870053 -0.8152373],[ 1.9482185 -2.0274374],-0.0588700100779533,-5.579180717468262,-6.037603855133057,-6.337646961212158,-4.9892258644104,-2.3691599369049072,-6.585818290710449,-2.7747373580932617,-0.9526505470275879,-6.739655017852783,-6.764148235321045,-6.282806396484375,-7.0288190841674805,-7.372005939483643,-4.165314197540283,-6.621127605438232,-8.009875297546387,-8.318058013916016,-5.764106750488281,-6.413249969482422,-7.225574493408203,-5.360625743865967,-8.460550308227539,-4.3436994552612305,-7.6842427253723145,-8.293665885925293,-7.378824710845947,-4.136744976043701,0.2506820559501648
Wanda Maximoff,Standard beat cops. Small station. Quiet street. It’s a good target.,0.1124999999999999,[ 0.96434736 -0.4635997 ],[ 1.5642425 -1.5614456],-0.0617236606776714,1.8950952291488647,-7.123896598815918,-7.065979480743408,-5.645446300506592,-1.8644355535507202,-6.300461769104004,-6.606520652770996,-6.7772417068481445,-6.938665866851807,-5.771148681640625,-5.039666652679443,-7.529412746429443,-8.303910255432129,-6.045042037963867,-8.035745620727539,-5.024235725402832,-8.38956069946289,-5.961330413818359,-5.830297470092773,-9.154023170471191,-4.998875617980957,-5.970768928527832,-4.707888126373291,-7.2631916999816895,-8.107012748718262,-6.879992961883545,-7.167094707489014,-2.387563467025757
Steve Rogers,"There’s an ATM in the south corner, which means . . .",0.0,[-0.33180982  0.48548862],[ 1.8195142 -1.7280228],-0.054759569466114,-6.489536285400391,-6.487525939941406,-6.570785999298096,-4.9603400230407715,-3.6168715953826904,-7.086112976074219,-5.465390682220459,-6.696868896484375,-7.34771203994751,-5.746795654296875,-5.403780937194824,-6.585700035095215,-7.446650981903076,-6.939471244812012,-6.877747058868408,-7.379861831665039,-8.181940078735352,-6.91963005065918,-7.292227268218994,-8.026183128356934,-5.905256748199463,-8.334622383117676,-3.947065591812134,-7.914690971374512,-8.135336875915527,-6.4835734367370605,-7.033481121063232,2.857971668243408
Wanda Maximoff,Cameras.,0.0,[-0.15005629  0.82525516],[ 1.4930032 -1.2870518],-0.0574835874140262,-5.798224449157715,-6.03398323059082,-5.6143798828125,-4.582844257354736,-4.418497085571289,-7.112657070159912,-6.581281661987305,-6.752490043640137,-7.113821506500244,-5.718035697937012,-5.394302845001221,-5.9022722244262695,-6.937700271606445,-6.088128089904785,-6.376104831695557,-7.0329484939575195,-7.778016567230225,-6.267736911773682,-6.96978759765625,-8.055193901062012,-6.6791768074035645,-7.881117343902588,-5.233792304992676,-8.012445449829102,-8.087064743041992,-6.179501056671143,-6.764686584472656,3.1007139682769775
Steve Rogers,Both cross streets are one way.,0.0,[0.19704057 0.446141  ],[ 1.3103234 -1.2478641],-0.05693369358778,-6.032219409942627,-7.065911769866943,-6.867094039916992,-5.207780361175537,-2.9997823238372803,-7.11715030670166,-5.471266746520996,-6.968221664428711,-7.274949550628662,-5.802742958068848,-4.986732006072998,-6.842876434326172,-8.002396583557129,-7.256716251373291,-7.353276252746582,-7.577803134918213,-8.579757690429688,-6.884029388427734,-7.067599296569824,-8.321064949035645,-5.733463764190674,-8.406209945678711,-4.0642008781433105,-7.948913097381592,-8.258030891418457,-6.849756717681885,-7.7332563400268555,2.5910842418670654
Wanda Maximoff,"So, compromised escape routes.",0.0,[-1.5162045  1.6843241],[ 1.537839  -1.5092329],-0.0551884621381759,-7.121835231781006,-7.27709436416626,-5.6761603355407715,-3.327322483062744,-3.520913600921631,-6.379698753356934,-6.023946762084961,-6.691367149353027,-6.131357669830322,-3.855380058288574,-5.157869338989258,-5.627320289611816,-6.566038608551025,-7.678019046783447,-6.136817932128906,-8.13260269165039,-7.337592601776123,-7.662885665893555,-7.603282928466797,-6.9991655349731445,-5.456131458282471,-8.2794189453125,-3.5467300415039062,-7.509967803955078,-7.676799297332764,-4.713095664978027,-7.061911582946777,2.177595615386963
Steve Rogers,"Means our guy doesn't care about being seen, he isn't afraid to make a mess on the way out. You see that Range Rover halfway up the block?",-0.3874999999999999,[ 0.6291588 -0.1122006],[ 1.5559263 -1.5929745],-0.0435441955924034,-5.203884124755859,-7.209439277648926,-6.381433010101318,-4.78518533706665,-3.1369800567626953,-5.716926574707031,-4.758857250213623,-3.9161741733551025,-6.733032703399658,-6.095595836639404,-6.1299333572387695,-6.7015838623046875,-7.587245941162109,-6.254666805267334,-6.119952201843262,-8.167289733886719,-8.182016372680664,-6.859164237976074,-7.040191650390625,-7.394399166107178,-5.4922308921813965,-8.002511978149414,-4.591448783874512,-7.613928318023682,-8.146961212158203,-6.630099773406982,-6.434846878051758,2.0449299812316895
Wanda Maximoff,"Yeah, the red one? It’s cute.",0.25,[ 0.9427659  -0.37773192],[ 1.3948534 -1.3933102],-0.0602507032454013,2.207900047302246,-6.051738739013672,-6.467916011810303,-5.867374420166016,-1.971762776374817,-6.135862350463867,-3.557368516921997,-2.669907808303833,-6.535983085632324,-5.995711803436279,-5.3347907066345215,-7.133486270904541,-7.903182029724121,-4.9296956062316895,-7.456629276275635,-5.955001354217529,-7.956529140472412,-5.321400165557861,-4.16866397857666,-8.01158332824707,-5.0718464851379395,-6.754787445068359,-4.953880786895752,-7.540531635284424,-7.643312454223633,-6.4731950759887695,-5.677249908447266,-3.9230172634124756
Natasha Romanoff,"[on radio] It's also bulletproof, which means private security, which means more guns, which means more headaches for somebody. Probably us.",0.3333333333333333,[-0.23522054  0.56595516],[ 1.1077977 -1.155848 ],-0.0589901879429817,-5.641232490539551,-7.279232025146484,-7.0241312980651855,-4.731706142425537,-1.6024839878082275,-4.972687721252441,-6.146510601043701,-6.867441177368164,-5.787919998168945,-5.63047456741333,-5.610031604766846,-6.959819793701172,-7.928983211517334,-6.583466529846191,-6.244740009307861,-7.446708679199219,-7.784865856170654,-5.936517715454102,-8.115283012390137,-6.434892654418945,-4.717596530914307,-7.1268815994262695,-3.7895262241363525,-5.698153018951416,-8.210877418518066,-5.916789531707764,-7.796850204467773,1.622493028640747
