Name,Spoken,Line
Secretary Ross,Natasha Romanoff,"Five years ago, I had a heart attack. I dropped right in the middle of my back-swing. Turned out it was the best round of my life, because after 13 hours of surgery and a triple bypass . . . I found something 40 years in the Army had never taught me"
Secretary Ross,James Rhodes,"Five years ago, I had a heart attack. I dropped right in the middle of my back-swing. Turned out it was the best round of my life, because after 13 hours of surgery and a triple bypass . . . I found something 40 years in the Army had never taught me"
Secretary Ross,Sam Wilson,"Five years ago, I had a heart attack. I dropped right in the middle of my back-swing. Turned out it was the best round of my life, because after 13 hours of surgery and a triple bypass . . . I found something 40 years in the Army had never taught me"
Secretary Ross,Steve Rogers,"Five years ago, I had a heart attack. I dropped right in the middle of my back-swing. Turned out it was the best round of my life, because after 13 hours of surgery and a triple bypass . . . I found something 40 years in the Army had never taught me"
Secretary Ross,Tony Stark,"Five years ago, I had a heart attack. I dropped right in the middle of my back-swing. Turned out it was the best round of my life, because after 13 hours of surgery and a triple bypass . . . I found something 40 years in the Army had never taught me"
Secretary Ross,Wanda Maximoff,"Five years ago, I had a heart attack. I dropped right in the middle of my back-swing. Turned out it was the best round of my life, because after 13 hours of surgery and a triple bypass . . . I found something 40 years in the Army had never taught me"
Secretary Ross,Vision,"Five years ago, I had a heart attack. I dropped right in the middle of my back-swing. Turned out it was the best round of my life, because after 13 hours of surgery and a triple bypass . . . I found something 40 years in the Army had never taught me"
Natasha Romanoff,Secretary Ross," And what word would you use, Mr. Secretary?"
Secretary Ross,Natasha Romanoff," How about ""dangerous""? What would you call a group of US-based, enhanced individuals who routinely ignore sovereign borders and inflict their will wherever they choose and who, frankly, seem unconcerned about what they leave behind?"
Secretary Ross,James Rhodes," How about ""dangerous""? What would you call a group of US-based, enhanced individuals who routinely ignore sovereign borders and inflict their will wherever they choose and who, frankly, seem unconcerned about what they leave behind?"
Secretary Ross,Sam Wilson," How about ""dangerous""? What would you call a group of US-based, enhanced individuals who routinely ignore sovereign borders and inflict their will wherever they choose and who, frankly, seem unconcerned about what they leave behind?"
Secretary Ross,Steve Rogers," How about ""dangerous""? What would you call a group of US-based, enhanced individuals who routinely ignore sovereign borders and inflict their will wherever they choose and who, frankly, seem unconcerned about what they leave behind?"
Secretary Ross,Tony Stark," How about ""dangerous""? What would you call a group of US-based, enhanced individuals who routinely ignore sovereign borders and inflict their will wherever they choose and who, frankly, seem unconcerned about what they leave behind?"
Secretary Ross,Wanda Maximoff," How about ""dangerous""? What would you call a group of US-based, enhanced individuals who routinely ignore sovereign borders and inflict their will wherever they choose and who, frankly, seem unconcerned about what they leave behind?"
Secretary Ross,Vision," How about ""dangerous""? What would you call a group of US-based, enhanced individuals who routinely ignore sovereign borders and inflict their will wherever they choose and who, frankly, seem unconcerned about what they leave behind?"
Steve Rogers,Secretary Ross, Okay. That's enough.
Secretary Ross,Natasha Romanoff," For the past four years, you've operated with unlimited power and no supervision. That's an arrangement the governments of the world can no longer tolerate. But I think we have a solution. [he places a thick document on the desk and passes it to Wanda]"
Secretary Ross,James Rhodes," For the past four years, you've operated with unlimited power and no supervision. That's an arrangement the governments of the world can no longer tolerate. But I think we have a solution. [he places a thick document on the desk and passes it to Wanda]"
Secretary Ross,Sam Wilson," For the past four years, you've operated with unlimited power and no supervision. That's an arrangement the governments of the world can no longer tolerate. But I think we have a solution. [he places a thick document on the desk and passes it to Wanda]"
Secretary Ross,Steve Rogers," For the past four years, you've operated with unlimited power and no supervision. That's an arrangement the governments of the world can no longer tolerate. But I think we have a solution. [he places a thick document on the desk and passes it to Wanda]"
Secretary Ross,Tony Stark," For the past four years, you've operated with unlimited power and no supervision. That's an arrangement the governments of the world can no longer tolerate. But I think we have a solution. [he places a thick document on the desk and passes it to Wanda]"
Secretary Ross,Wanda Maximoff," For the past four years, you've operated with unlimited power and no supervision. That's an arrangement the governments of the world can no longer tolerate. But I think we have a solution. [he places a thick document on the desk and passes it to Wanda]"
Secretary Ross,Vision," For the past four years, you've operated with unlimited power and no supervision. That's an arrangement the governments of the world can no longer tolerate. But I think we have a solution. [he places a thick document on the desk and passes it to Wanda]"
Secretary Ross,Natasha Romanoff,"The Sokovia Accords. Approved by 117 countries . . . it states that the Avengers shall no longer be a private organization. Instead, they'll operate under the supervision of a United Nations panel, only when and if that panel deems it necessary."
Secretary Ross,James Rhodes,"The Sokovia Accords. Approved by 117 countries . . . it states that the Avengers shall no longer be a private organization. Instead, they'll operate under the supervision of a United Nations panel, only when and if that panel deems it necessary."
Secretary Ross,Sam Wilson,"The Sokovia Accords. Approved by 117 countries . . . it states that the Avengers shall no longer be a private organization. Instead, they'll operate under the supervision of a United Nations panel, only when and if that panel deems it necessary."
Secretary Ross,Steve Rogers,"The Sokovia Accords. Approved by 117 countries . . . it states that the Avengers shall no longer be a private organization. Instead, they'll operate under the supervision of a United Nations panel, only when and if that panel deems it necessary."
Secretary Ross,Tony Stark,"The Sokovia Accords. Approved by 117 countries . . . it states that the Avengers shall no longer be a private organization. Instead, they'll operate under the supervision of a United Nations panel, only when and if that panel deems it necessary."
Secretary Ross,Wanda Maximoff,"The Sokovia Accords. Approved by 117 countries . . . it states that the Avengers shall no longer be a private organization. Instead, they'll operate under the supervision of a United Nations panel, only when and if that panel deems it necessary."
Secretary Ross,Vision,"The Sokovia Accords. Approved by 117 countries . . . it states that the Avengers shall no longer be a private organization. Instead, they'll operate under the supervision of a United Nations panel, only when and if that panel deems it necessary."
Steve Rogers,Natasha Romanoff, The Avengers were formed to make the world a safer place. I feel we've done that.
Steve Rogers,James Rhodes, The Avengers were formed to make the world a safer place. I feel we've done that.
Steve Rogers,Sam Wilson, The Avengers were formed to make the world a safer place. I feel we've done that.
Steve Rogers,Steve Rogers, The Avengers were formed to make the world a safer place. I feel we've done that.
Steve Rogers,Tony Stark, The Avengers were formed to make the world a safer place. I feel we've done that.
Steve Rogers,Wanda Maximoff, The Avengers were formed to make the world a safer place. I feel we've done that.
Steve Rogers,Vision, The Avengers were formed to make the world a safer place. I feel we've done that.
Secretary Ross,Steve Rogers," Tell me, Captain, do you know where Thor and Banner are right now?"
Secretary Ross,Steve Rogers,"If I misplaced a couple of 30 megaton nukes . . . you can bet there'd be consequences. Compromise. Reassurance. That's how the world works. Believe me, this is the middle ground."
James Rhodes,Secretary Ross," So, there are contingencies."
Secretary Ross,Natasha Romanoff," Three days from now, the UN meets in Vienna to ratify the Accords."
Secretary Ross,James Rhodes," Three days from now, the UN meets in Vienna to ratify the Accords."
Secretary Ross,Sam Wilson," Three days from now, the UN meets in Vienna to ratify the Accords."
Secretary Ross,Steve Rogers," Three days from now, the UN meets in Vienna to ratify the Accords."
Secretary Ross,Tony Stark," Three days from now, the UN meets in Vienna to ratify the Accords."
Secretary Ross,Wanda Maximoff," Three days from now, the UN meets in Vienna to ratify the Accords."
Secretary Ross,Vision," Three days from now, the UN meets in Vienna to ratify the Accords."
Secretary Ross,Natasha Romanoff, Talk it over.
Secretary Ross,James Rhodes, Talk it over.
Secretary Ross,Sam Wilson, Talk it over.
Secretary Ross,Steve Rogers, Talk it over.
Secretary Ross,Tony Stark, Talk it over.
Secretary Ross,Wanda Maximoff, Talk it over.
Secretary Ross,Vision, Talk it over.
Natasha Romanoff,Secretary Ross, And if we come to a decision you don't like?
Secretary Ross,Natasha Romanoff, Then you retire.
