Name,Line,Sentiment,Irony
Luna Lovegood,It's beautiful here.,0.85,[0.06874831 0.5538139 ]
Bill Weasley,"It was our Aunt's. We used to come here as kids. The Order uses it now as a safe house -- what's left of us, at least.",0.0666666666666666,[ 1.358133  -0.7751762]
Luna Lovegood,Muggles think these keep evil away. But they're wrong...,-0.75,[-0.315814   0.6178277]
Harry Potter,I need to talk to the goblin.,0.0,[ 1.8203329 -1.0155162]
Harry Potter,How are you?,0.0,[ 2.0654762 -1.2159965]
Griphook,Alive.,0.1,[0.5703137 0.0321104]
Harry Potter,You probably don't remember --,0.0,[ 1.6495235  -0.84025514]
Harry Potter,Yes.,0.0,[0.35707045 0.19407645]
Griphook,And brought me here.,0.0,[ 0.7724034  -0.13145325]
Griphook,You are a very unusual wizard.,0.26,[-0.04439436  0.49119982]
Harry Potter,Why did you leave Gringotts?,0.0,[ 2.0642877 -1.302249 ]
Griphook,Soon the Death Eaters will control it. That was unacceptable to me.,0.0,[0.637255   0.06979568]
Ron Weasley,Then you're on our side.,0.0,[0.3596182  0.33505562]
Griphook,This is a wizard's war. I take no side.,0.0,[ 1.5250446  -0.79482317]
Griphook,It is impossible.,-0.6666666666666666,[ 0.8538951  -0.13127996]
Harry Potter,"Alone, yes. With you, no.",0.0,[ 1.9454952 -1.1726184]
Griphook,How did you come by this sword?,0.0,[ 2.16705   -1.3898286]
Harry Potter,It's complicated. Why did Bellatrix Lestrange think it should be in her vault at Gringotts?,-0.5,[ 1.7641413 -1.300069 ]
Griphook,It's complicated.,-0.5,[0.64931923 0.18206468]
Harry Potter,The sword presented itself to us in a moment of need. We didn't steal it.,0.0,[ 2.0280714 -1.2603014]
Griphook,"There is a sword in Madam Lestrange's vault identical to this one, but it is a fake. It was placed there this past summer.",-0.375,[ 1.5604087 -0.9565765]
Harry Potter,And she never suspected?,0.0,[ 1.0180304 -0.4174923]
Griphook,The replica is very convincing. Only a goblin would recognize that this is the true Sword of Gryffindor.,0.3333333333333333,[ 0.68000776 -0.25610512]
Ron Weasley,Who put it there? The fake.,-0.5,[ 1.2482742 -0.6956817]
Griphook,"It was not my place to ask, nor did I desire to. There are more than a few curious things in the vaults at Gringotts.",0.0666666666666666,[ 1.8609551 -1.31327  ]
Harry Potter,And in Madam Lestrange's vault as well?,0.0,[ 1.1016433 -0.7275666]
Griphook,Perhaps.,0.0,[0.4846374 0.0849392]
Griphook,I have no interest in gold.,0.0,[ 1.5892905 -1.0309551]
Harry Potter,Then what? The goblin twists the curl at his chin... then his eyes,0.0,[ 1.2482343 -0.6724772]
Griphook,That is my price.,0.0,[ 1.5936701 -0.8655306]
Griphook,"I have your word, Harry Potter, that you will give me the Sword of Gryffindor if I help you?",0.0,[ 1.6534594 -1.003091 ]
Hermione Granger,"Harry, are you thinking there's a Horcrux in Bellatrix's vault?",0.0,[ 1.9436021 -1.2464129]
Harry Potter,"She was terrified when she thought we'd been in there. She kept asking you what else we'd taken. I'd bet anything there's a Horcrux there. If we find it, we can kill it. And if we kill it, we're one step closer to killing him.",0.0,[ 2.0571198 -1.3489612]
Ron Weasley,And if we find one? How're we supposed to destroy it if we've given Griphook the sword?,-0.2,[ 2.0096555 -1.2804292]
Harry Potter,I'm still working on that part.,0.0,[ 1.3937875 -0.5151067]
Fleur Delacour,He's too weak.,-0.375,[ 0.9572912  -0.19329366]
Garrick Ollivander,Forgive me if I don't get up.,0.0,[ 1.2897084 -0.4624545]
Harry Potter,"Mr. Ollivander, I need to ask you a few questions.",-0.2,[ 1.6356504 -0.8960069]
Garrick Ollivander,"Anything, m'boy, anything.",0.0,[ 1.7967682 -0.943164 ]
Harry Potter,"Can you identify these, sir?",0.0,[ 2.1857803 -1.3021417]
Garrick Ollivander,Walnut and dragon heartstring. Twelve and three quarter inches. Unyielding. This belongs to Bellatrix Lestrange.,0.0,[ 2.168823  -1.3089348]
Harry Potter,And this?,0.0,[ 1.1160349 -0.3879854]
Garrick Ollivander,Hawthorn. Unicorn hair. Ten inches. Reasonably pliant. This was the wand of Draco Malfoy.,0.1,[ 1.2070624  -0.66340274]
Harry Potter,Was? Isn't it still?,0.0,[ 2.0147612 -1.2197183]
Garrick Ollivander,Perhaps not -- if you won it from him. I sense its allegiance has changed.,0.0,[ 1.6097018 -1.0995016]
Garrick Ollivander,"The wand chooses the wizard, Mr. Potter. That much has always been clear to those of us who have studied wandlore.",0.15,[0.06917392 0.4270451 ]
Harry Potter,"What do you know about the Deathly Hallows, sir?",0.0,[ 2.2242143 -1.4200903]
Garrick Ollivander,"There are rumored to be three: The Elder Wand, the Resurrection Stone and the Invisibility Cloak. It is said that to possess them all is to make oneself the Master of Death. But few truly believe such objects exist --",-0.1,[ 1.2575461  -0.81354326]
Harry Potter,"But you, sir? Do you believe they exist?",0.0,[ 1.9525042 -1.2522192]
Harry Potter,You're lying. You know one exists and you told him about it. You told him about the Elder Wand and where to go looking for it.,0.0,[ 1.0864025  -0.70410395]
Garrick Ollivander,"He tortured me! Besides, I conveyed only rumors. There's no guarantee he will find it --",0.0,[ 1.8071927 -1.1681466]
Harry Potter,"He has found it, sir.",0.0,[ 0.7679931  -0.10284176]
Harry Potter,"That's all, sir. We'll leave you to get some rest now.",0.0,[ 1.8628849 -1.1019359]
Garrick Ollivander,"He's after you, Mr. Potter. If it's true, what you say, that he has the Elder Wand, I'm afraid you really don't stand a chance.",-0.0166666666666666,[ 1.7909313 -1.1465336]
Harry Potter,"Then I guess I'll just have to kill him before he finds me, sir.",0.0,[ 1.3725799  -0.67978114]
Ron Weasley,You're sure it's hers?,0.5,[ 1.6040659  -0.95964074]
Hermione Granger,Positive. Harry turns to the two wands on the table -- the ones he showed Ollivander -- and extends the longest to Hermione.,0.2272727272727272,[ 1.4497734  -0.87220186]
Harry Potter,I reckon you should take this then.,0.0,[ 1.4601294 -0.888586 ]
Ron Weasley,You heard Ollivander. It's Harry's now.,0.0,[ 1.2315532  -0.29594672]
Hermione Granger,But I hate that thing -- that's the wand that killed Sirius! How can I hold it and not feel...,-0.525,[ 1.8419706 -1.1156912]
Harry Potter,"If I can hold it, you can.",0.0,[ 1.7851468 -0.9735087]
Ron Weasley,"How will we know what it is when we get in there? After all, a Horcrux can be anything.",0.0,[ 2.0129945 -1.2463316]
Harry Potter,I'll know. I can't explain. It's like...,0.0,[ 2.0546596 -1.1312696]
Ron Weasley,That's a bit scary.,-0.5,[0.62663877 0.04868913]
Hermione Granger,"It is, Harry. Did Dumbledore ever say anything to you, something that might explain why --",0.0,[ 1.9304955 -1.3751748]
Harry Potter,No. I just know. When one's near.,0.1,[ 1.7750224  -0.95664364]
Fleur Delacour,"This is the closest I could find to what you described, Hermione.",0.0,[ 0.9629061  -0.47131857]
Hermione Granger,"It's perfect. Thank you, Fleur.",1.0,[ 0.86005074 -0.06765248]
Bill Weasley,"You're leaving, aren't you.",0.0,[ 0.9048064  -0.26130337]
Harry Potter,In the morning.,0.0,[0.14165819 0.3378597 ]
Bill Weasley,And Griphook?,0.0,[ 1.786843  -0.9627682]
Harry Potter,He'll be leaving too.,0.0,[0.6423209  0.12290456]
Bill Weasley,"Listen, I don't know what you're up to, but I know goblins. If you've struck any kind of bargain with Griphook, you must be exceptionally careful to live up to it. If you don't... he won't be forgiving.",0.2121212121212121,[ 2.2865112 -1.5478374]
Luna Lovegood,The sky has lost a star.,0.0,[ 0.92311364 -0.08225532]
Luna Lovegood,"My father used to say that when a child died. She looks up, smiles.",0.0,[ 1.3142192 -0.5638996]
Harry Potter,"Yeah. Funny. Listen, Luna, about your father, I don't want you to think I --",0.25,[ 1.1381395  -0.52948326]
Luna Lovegood,"I know you understand why my father did what he did, Harry. That's why we don't need to talk about it.",0.0,[ 0.9354084  -0.35192037]
Harry Potter,Hogwarts?,0.0,[ 1.642585  -1.0282892]
Harry Potter,"It's not the place you left, you",0.0,[ 1.6495652 -0.8173642]
Luna Lovegood,Neither am I.,0.0,[ 1.2259492  -0.54242486]
Ron Weasley,Always good value. I'll miss her.,0.7,[ 1.2133443 -0.674347 ]
Ron Weasley,What d'you think?,0.0,[ 2.4055288 -1.4366599]
Harry Potter,Wouldn't know you if I didn't know you.,0.0,[ 1.2225577 -0.4501838]
Ron Weasley,You want to tell me what that is?,0.0,[ 2.0434868 -1.243068 ]
Harry Potter,"Sirius gave it to me. He had a matching piece. He said if I ever needed him, all I had to do was look into it.",0.0,[ 2.340133  -1.5632337]
Ron Weasley,You mean he could see you?,-0.3125,[ 1.2349671 -0.6030401]
Harry Potter,Something like that. I don't know. He died before I ever got to use it. The thing is...,0.0,[ 2.233848  -1.4108121]
Ron Weasley,Go on.,0.0,[ 0.82060474 -0.06210131]
Harry Potter,"You'll think I'm mental, but more than once, when I've looked into it -- I think I've seen Dumbledore.",0.2,[ 1.6029916 -1.0485808]
Ron Weasley,Bloody hell... that's a sight.,-0.8,[ 0.76296335 -0.0164669 ]
Bellatrix Lestrange,"Well, how do I look?",0.0,[ 1.9510299 -1.1394861]
Ron Weasley,Hideous.,0.0,[0.3832108 0.2462908]
Bellatrix Lestrange,"Oh dear, I missed a spot, didn't I? Hold still...",0.0,[ 1.9610744 -1.099688 ]
Ron Weasley,"Couldn't do anything about that bit in the back that's always flipping up, could you? Dead annoying --",-0.3333333333333333,[ 1.8207291 -0.927132 ]
Ron Weasley,"Never mind. I'm good.  That is you in there, isn't it?",0.7,[-0.4737546  0.9627424]
Harry Potter,"You can give that to Hermione to hold, all right, Griphook?",0.2857142857142857,[ 1.7027117 -1.0066471]
Goblin,Madam Lestrange.,0.0,[0.5925379  0.09598956]
