Unnamed: 0,Name,Movie,Line,Sentiment,Irony,Hate,Intimacy
0,Ebony Maw,infinity_war.txt,"Hear me, and rejoice. You have had the privilege of being saved by the Great Titan.... You may think this is suffering... no. It is salvation. Universal scales tip toward balance because of your sacrifice. Smile... [Corvus Glaive stabs one of the lingering Asgardians] for even in death, you have become Children of Thanos.",0.3666666666666667,[ 1.5913451 -0.90669  ],[ 1.6877006 -1.8921767],0.15025493502616882
1,Thanos,infinity_war.txt,[Looking out the large window we saw at the end of Thor,0.2142857142857142,[ 0.8347757  -0.21399912],[ 1.9605403 -2.0429919],0.025404751300811768
2,Thor,infinity_war.txt,[Now being held by Thanos with one huge hand wrapping around his head; blood drools from his mouth] You talk too much.,0.3,[ 1.121099   -0.42585316],[ 1.2320923 -1.3891045],0.17384052276611328
3,Thanos,infinity_war.txt,"[To Loki] The Tesseract, or your brother's head. I assume you have a preference.",0.0,[ 1.9230217 -1.2767003],[ 1.5262879 -1.7107325],0.13975262641906738
4,Thor,infinity_war.txt,We don't have the Tesseract. It was destroyed on Asgard.,0.0,[ 1.4646192  -0.84138554],[ 1.2603177 -1.343675 ],0.02169322967529297
5,Thor,infinity_war.txt,You really are the worst brother.,-0.4,[0.58043456 0.12550357],[ 1.4946197 -1.4380786],0.17634277045726776
6,Thanos,infinity_war.txt,"Your optimism is misplaced, Asgardian.",-0.2,[ 0.6998632  -0.20954427],[ 1.6356721 -1.7308841],0.09290274977684021
7,Ebony Maw,infinity_war.txt,Let him have his fun.,0.3,[-0.35658288  0.90483856],[ 0.958178  -1.0192766],0.15150943398475647
8,Thanos,infinity_war.txt,That was a mistake.,0.0,[ 0.9466344  -0.19428241],[ 1.261592  -1.1338098],0.05324873328208923
9,Thor,infinity_war.txt,NO!!! [After Thanos kills Heimdall] You're going to die for that!,0.0,[ 1.211564   -0.31952447],[ 0.7467332 -1.0167328],0.07687878608703613
10,Ebony Maw,infinity_war.txt,[Shuts Thor's mouth with his telekinesis] Shh.,0.0,[0.7605556  0.02594839],[ 1.2746745 -1.2953066],0.09775301814079285
11,Ebony Maw,infinity_war.txt,"[Kneels before Thanos, offering up the Tesseract] My humble personage… bows before your grandeur. No other being has ever had the might, nay the nobility, to wield not one, but two Infinity Stones. The universe lies within your grasp.",-0.06875,[ 1.655066   -0.74982214],[ 1.1347883 -1.4036714],0.1615629643201828
12,Thanos,infinity_war.txt,"There are two more Stones on Earth. Find them, my children, and bring them to me on Titan.",0.5,[ 1.9779954 -1.2624608],[ 1.4425699 -1.5915855],0.07744717597961426
