Unnamed: 0,Name,Movie,Line,Sentiment,Irony,Hate,Intimacy
0,Tony,iron_man_2.txt,It’s good to be back. You missed me?,0.35,[ 1.7351202 -0.8827311],[ 1.6722592 -1.631472 ],0.1769779622554779
1,Tony,iron_man_2.txt,"I missed you too. Blow something up? I already did that. I’m not saying that the world is enjoying its longest period of uninterrupted peace in years because of me. I’m not saying that from the ashes of captivity, never has a greater phoenix metaphor been personified in human history. I’m not saying that Uncle Sam can kick back on a lawn chair, sipping on an iced tea because I haven’t come across anyone who’s man enough to go toe-to-toe with me on my best day.",0.2857142857142857,[ 1.7313083 -1.047329 ],[ 1.6621715 -1.8786036],0.1574954092502594
2,Tony,iron_man_2.txt,"Please, it’s not about me. [People still cheering Tony] It’s not about you. It’s not even about us. It’s about legacy. It’s about what we choose to leave behind for future generations. And that’s why for the next year and for the first time since 1974, the best and brightest men and women of nations and corporations the world over will pool their resources, share their collective vision, to leave behind a brighter future. It’s not about us. Therefore, what I’m saying, if I’m saying anything, is welcome back to the Stark Expo. [Big cheer from crowd.] And now, making a special guest appearance from the great beyond to tell you what it’s all about, please welcome my father, Howard.",0.2147959183673469,[ 1.2872783 -0.7764079],[ 2.202859  -2.3239553],0.12729579210281372
3,Tony,iron_man_2.txt,"All right, it’s a zoo out there, watch out.",0.2857142857142857,[ 0.8597838  -0.10321561],[ 1.3941237 -1.3329713],0.04085192084312439
4,Happy,iron_man_2.txt,"Open up, let’s go.",0.0,[ 1.7879101 -0.8848291],[ 1.2479845 -1.2031592],0.03508886694908142
5,Tony,iron_man_2.txt,"Hey, nice to see you. All right. Thank you. I remember you.",0.4428571428571428,[-0.5342209  0.9944519],[ 1.7010372 -1.6153547],0.17630761861801147
6,Tony,iron_man_2.txt,"Hey, hey.",0.0,[0.03028744 0.45675674],[ 1.1827996 -1.181369 ],0.03259706497192383
7,Happy,iron_man_2.txt,"Hey, hey, hey, hey. Come on, come on.",0.0,[ 1.4986899 -0.7550204],[ 1.2038234 -1.2022709],0.09567949175834656
8,Tony,iron_man_2.txt,[signing a picture of Iron Man] Hello. It would be a pleasure.,0.0,[ 1.2728958 -0.7504726],[ 1.7456726 -1.9680895],0.11821523308753967
9,Happy,iron_man_2.txt,Okay,0.5,[0.29301438 0.45524395],[ 1.0641636 -1.0105236],0.028722643852233887
10,Tony,iron_man_2.txt,[what would be ruffling the hair of a small boy if said small boy were not wearing an Iron Man helmet making hair unreachable] See you buddy,-0.25,[ 1.3654681 -0.7962916],[ 1.7868863 -1.769811 ],0.1571454554796219
11,Happy,iron_man_2.txt,This is Larry.,0.0,[0.3630162  0.35163677],[ 1.076316  -1.0352942],0.027919888496398926
12,Tony,iron_man_2.txt,"Hey, the oracle of Oracle. What a pleasure. Nice to see you.",0.6,[-1.2677852  1.509472 ],[ 1.7492824 -1.7300432],0.1794743686914444
13,Happy,iron_man_2.txt,Larry King.,0.0,[0.20222121 0.4619847 ],[ 1.0942948 -1.0881404],0.027539491653442383
14,Tony,iron_man_2.txt,"Larry! Larry. Yes, my people, my people.",0.0,[ 0.7137655  -0.21975026],[ 1.5811627 -1.7540371],0.1592782586812973
15,Happy,iron_man_2.txt,"[Scene shows them finally at the door] Come on, Tony. There we go.",0.0,[ 1.0661552  -0.23720536],[ 1.7890223 -1.7596684],0.06946656107902527
16,Tony,iron_man_2.txt,Very mellow.,0.2,[0.01624859 0.42613253],[ 1.2398067 -1.2292025],0.04812443256378174
17,Happy,iron_man_2.txt,That wasn’t so bad.,-0.6999999999999998,[-0.00385291  0.5351971 ],[ 1.0918723 -0.9783318],0.10167253017425537
18,Tony,iron_man_2.txt,"No, it was perfect.",1.0,[0.17425092 0.5320345 ],[ 1.7158083 -1.5304524],0.07432633638381958
19,Happy,iron_man_2.txt,"Look what we got here, the new model.",0.1363636363636363,[-1.0037206  1.4326855],[ 1.7353212 -1.6784408],0.020143985748291016
20,Tony,iron_man_2.txt,"Hey, does she come with the car?",0.0,[ 2.182238  -1.4704981],[ 1.0787238 -1.0323706],0.07203644514083862
21,Happy,iron_man_2.txt,I certainly hope so. Hi.,0.2142857142857142,[ 1.4037125 -0.753374 ],[ 1.2515494 -1.2410072],0.0760655403137207
22,Tony,iron_man_2.txt,Hi. And you are?,0.0,[ 1.6616343 -0.9715302],[ 1.668166  -1.6734791],0.06753021478652954
23,Tony,iron_man_2.txt,Irish. I like it.,0.0,[0.42324588 0.18334624],[ 1.3346919 -1.2909607],0.08780169486999512
24,Tony,iron_man_2.txt,I’m on the wheel. Do you mind? Where you from?,0.0,[ 2.1622117 -1.4879508],[ 1.9166665 -1.9895355],0.12373784184455872
25,Tony,iron_man_2.txt,What are you doing here?,0.0,[ 1.9662379 -1.2274935],[ 1.8311237 -1.9127167],0.0585399866104126
26,Tony,iron_man_2.txt,Yeah? You found me. What are you up to later?,0.0,[ 1.8241388 -1.148472 ],[ 1.8632373 -1.9160135],0.10293766856193542
27,Tony,iron_man_2.txt,Yikes.,0.0,[0.47102422 0.14998758],[ 1.2757249 -1.2180425],0.060313403606414795
28,Happy,iron_man_2.txt,[Reaching over and taking the letter] He doesn’t like to be handed things.,0.0,[ 1.5288427 -0.9276449],[ 1.7826818 -1.9603882],0.06982812285423279
