Unnamed: 0,Name,Movie,Line,Sentiment,Irony,Hate,Intimacy
0,Odin,thor_dark_world.txt,"[voice over] Long before the birth of light there was darkness, and from that darkness, came the Dark Elves. Millennia ago, the most ruthless of their kind, Malekith, sought to transform our universe back into one of eternal night.",0.0428571428571428,[ 1.1908015  -0.55300504],[ 0.9941145 -1.1575018],0.08016616106033325
1,Odin,thor_dark_world.txt,"Such evil was possible through the power of the Aether, an ancient force of infinite destruction.",-0.3333333333333333,[ 0.47483206 -0.03835692],[ 0.9864522 -1.1204191],0.030599653720855713
2,Odin,thor_dark_world.txt,"The noble armies of Asgard, led by my father, King Bor, waged a mighty war against these creatures.",0.5,[0.57755834 0.21757391],[ 0.8653873  -0.97659355],0.07082203030586243
3,Malekith,thor_dark_world.txt,Send the Kursed.,0.0,[ 0.76794505 -0.06235996],[ 1.0616344 -1.1575178],0.03861933946609497
4,Odin,thor_dark_world.txt,"As the Nine Worlds converged above him, Malekith could at last unleash the Aether...",0.0,[ 1.07219   -0.3287273],[ 1.2379082 -1.3745542],0.024647563695907593
5,Odin,thor_dark_world.txt,"But Asgard ripped the weapon from his grasp. Without it, the Dark Elves fell. With the battle all but lost, Malekith sacrificed his own people in a desperate attempt to lay waste to Asgard's army.",-0.0875,[ 1.5275939 -0.7228643],[ 0.6375154  -0.85838765],0.07223978638648987
6,Malekith,thor_dark_world.txt,[subtitled] Their deaths will mean our survival. This war is far from over.,-0.10625,[ 1.3457253 -0.5617421],[ 1.1406947 -1.3122283],0.07247567176818848
7,Odin,thor_dark_world.txt,"Malekith was vanquished, and the Aether was no more. Or so we were led to believe.",-0.25,[ 1.1067021  -0.40822023],[ 1.2806123 -1.3689789],0.0328560471534729
8,Frigga,thor_dark_world.txt,Loki.,0.0,[ 1.3074534  -0.45312917],[ 1.2027811 -1.2232503],0.029624342918395996
9,Loki,thor_dark_world.txt,"Hello, mother. Have I made you proud?",0.8,[ 1.0632055  -0.35944638],[ 1.3472909 -1.3455856],0.17632471024990082
10,Frigga,thor_dark_world.txt,"Please, don't make this worse.",-0.4,[ 1.4860215 -0.6562133],[ 1.6792485 -1.5190223],0.13046950101852417
11,Loki,thor_dark_world.txt,Define worse.,-0.4,[ 1.2585834  -0.36964676],[ 1.3470286 -1.1994356],0.025443315505981445
12,Odin,thor_dark_world.txt,Enough! I will speak to the prisoner alone.,0.0,[ 1.9643089 -1.036958 ],[ 1.2132447 -1.282955 ],0.08407795429229736
13,Loki,thor_dark_world.txt,[laughs] I really don't see what all the fuss is about.,0.2,[ 0.7593833  -0.15630287],[ 1.5652457 -1.5501274],0.0610470175743103
14,Odin,thor_dark_world.txt,"Do you not truly feel the gravity of your crimes? Wherever you go there is war, ruin and death.",0.0,[ 1.5116549 -0.8439876],[ 1.3691096 -1.6064961],0.09270608425140381
15,Loki,thor_dark_world.txt,I went down to Midgard to rule the people of Earth as a benevolent god. Just like you.,-0.1555555555555555,[-0.12437066  0.7083306 ],[ 1.5530376 -1.7153338],0.08033633232116699
