Name,Movie,Line,Sentiment,Irony,Hate,Intimacy
Steve Rogers,winter_soldier.txt,On your left.,0.0,[ 0.9450111  -0.22627646],[ 1.2973486 -1.2019085],0.09898510575294495
Steve Rogers,winter_soldier.txt,On your left.,0.0,[ 0.9450111  -0.22627646],[ 1.2973486 -1.2019085],0.09898510575294495
Sam Wilson,winter_soldier.txt,"Uh-huh, on my left. Got it.",0.0,[ 1.1167008 -0.3536323],[ 1.7627772 -1.6201683],0.10850125551223755
Sam Wilson,winter_soldier.txt,Don't say it! Don't you say it!,0.0,[ 1.8189584 -0.9692724],[ 1.1020612 -1.0101041],0.12346494197845459
Steve Rogers,winter_soldier.txt,On your left!,0.0,[ 1.5991837 -0.7070011],[ 1.5703679 -1.492083 ],0.1085616797208786
Sam Wilson,winter_soldier.txt,Come on!,0.0,[ 1.0519999  -0.29871273],[ 0.79822767 -0.72963655],0.13385602831840515
Steve Rogers,winter_soldier.txt,Need a medic?,0.0,[ 2.043757  -1.2584052],[ 1.5660284 -1.6263269],0.07411077618598938
Sam Wilson,winter_soldier.txt,"I need a new set of lungs. Dude, you just ran like 13 miles in 30 minutes.",0.1363636363636363,[ 0.61140794 -0.03143419],[ 1.50025  -1.445283],0.07141923904418945
Steve Rogers,winter_soldier.txt,I guess I got a late start.,-0.3,[0.648823  0.1454958],[ 1.5352719 -1.4180299],0.07504212856292725
Sam Wilson,winter_soldier.txt,"Oh, really? You should be ashamed of yourself. You should take another lap.",0.2,[ 0.7347906  -0.14319518],[ 0.98183787 -0.72860193],0.1773417592048645
Sam Wilson,winter_soldier.txt,Did you just take it? I assumed you just took it.,0.0,[ 1.48122   -0.8901006],[ 1.8026409 -1.8035072],0.08358347415924072
Steve Rogers,winter_soldier.txt,What unit you with?,0.0,[ 2.2774663 -1.3090475],[ 1.3729255 -1.3390642],0.09207487106323242
Sam Wilson,winter_soldier.txt,"58, Pararescue. But now I'm working down at the VA.",-0.1555555555555555,[-0.0573648  0.682257 ],[ 2.267912  -2.1344824],0.024540841579437256
Sam Wilson,winter_soldier.txt,Sam Wilson.,0.0,[0.44963756 0.14667103],[ 1.1617452 -1.1714365],0.030702054500579834
Steve Rogers,winter_soldier.txt,Steve Rogers.,0.0,[0.28512228 0.35119835],[ 1.2728854 -1.2821655],0.028945446014404297
Sam Wilson,winter_soldier.txt,Yeah I kind of put that together. Must have freaked you out coming home after the whole defrosting thing.,0.4,[ 1.008685  -0.3610255],[ 1.7516974 -1.7581508],0.06982758641242981
Steve Rogers,winter_soldier.txt,"It takes some getting used to. It's good to meet you, Sam.",0.7,[0.54769075 0.02730988],[ 1.8248535 -1.8523618],0.17706626653671265
Sam Wilson,winter_soldier.txt,"It's your bed, right?",0.2857142857142857,[ 1.4457251 -0.6922517],[ 1.7029083 -1.7688755],0.17089775204658508
Steve Rogers,winter_soldier.txt,What's that?,0.0,[ 2.0485668 -1.046986 ],[ 1.2492839 -1.2368416],0.027281612157821655
Sam Wilson,winter_soldier.txt,"Your bed, it's too soft. When I was over there I'd sleep on the ground and use rock for pillows, like a caveman. Now I'm home, lying in my bed, and it's like...",0.1,[ 1.7002898  -0.94159067],[ 1.7787569 -1.8381282],0.1728145033121109
Steve Rogers,winter_soldier.txt,Lying on a marshmallow. Feel like I'm gonna sink right to the floor.,0.2857142857142857,[ 1.7888416 -0.9938257],[ 1.6318008 -1.5730982],0.0594237744808197
Steve Rogers,winter_soldier.txt,How long?,-0.05,[ 1.9784595 -1.1522003],[ 1.4260005 -1.3134805],0.03715837001800537
Sam Wilson,winter_soldier.txt,Two tours.,0.0,[0.19002359 0.36098075],[ 1.2167858 -1.1561791],0.03177833557128906
Sam Wilson,winter_soldier.txt,"You must miss the good old days, huh?",0.3999999999999999,[0.20770822 0.2057842 ],[ 1.6479706 -1.5612386],0.15113003551959991
Steve Rogers,winter_soldier.txt,"Well, things aren't so bad. Food's a lot better, we used to boil everything. No polio is good. Internet, so helpful. I've been reading that a lot trying to catch up.",0.1666666666666667,[-0.01962902  0.4364983 ],[ 1.9829851 -1.9921397],0.037838369607925415
Sam Wilson,winter_soldier.txt,"Marvin Gaye, 1972, ""Trouble Man"" soundtrack. Everything you've missed jammed into one album.",-0.15,[ 1.6629012 -0.8719028],[ 2.175699  -2.1251965],0.030246645212173462
Steve Rogers,winter_soldier.txt,I'll put it on the list.,0.0,[ 1.7348623  -0.74785084],[ 1.2608839 -1.2339796],0.03196254372596741
Steve Rogers,winter_soldier.txt,"Alright, Sam, duty calls. Thanks for the run. If that's what you wanna call running.",0.2,[-0.11905339  0.5632505 ],[ 1.7494832 -1.8512937],0.028774231672286987
Sam Wilson,winter_soldier.txt,"Oh, that's how it is?",0.0,[-1.1318928  1.6517913],[ 1.615022  -1.5080653],0.02625390887260437
Steve Rogers,winter_soldier.txt,"Oh, that's how it is.",0.0,[-1.1138064  1.5707237],[ 1.3043677 -1.1774423],0.029212504625320435
Sam Wilson,winter_soldier.txt,"(He laughs.) Okay. Any time you wanna stop by the VA, make me look awesome in front of the girl at the front desk, just let me know.",0.75,[ 0.61167055 -0.03628843],[ 1.3480445 -1.2860048],0.16134235262870789
Steve Rogers,winter_soldier.txt,I'll keep it in mind.,0.0,[ 1.669195  -0.8443547],[ 1.4855216 -1.4570129],0.09935182332992554
Sam Wilson,winter_soldier.txt,Okay.,0.5,[0.18276115 0.53094697],[ 0.928708   -0.86421824],0.030240356922149658
Natasha Romanoff,winter_soldier.txt,"Hey, fellas. Either one of you know where the Smithsonian is? I'm here to pick up a fossil.",0.0,[ 1.7710637 -1.1930137],[ 1.9450545 -2.1338418],0.048046499490737915
Steve Rogers,winter_soldier.txt,That's hilarious.,0.5,[-1.5186516  1.9576917],[ 0.9899189 -0.9047687],0.11257922649383545
Sam Wilson,winter_soldier.txt,How you doing?,0.0,[ 2.127962  -1.1858503],[ 1.6830367 -1.7318   ],0.11769434809684753
Natasha Romanoff,winter_soldier.txt,Hey.,0.0,[0.19733138 0.377543  ],[ 1.1227647 -1.0989131],0.02827894687652588
Steve Rogers,winter_soldier.txt,Can't run everywhere.,0.0,[ 1.2124093 -0.4158748],[ 1.5204431 -1.3873179],0.026312410831451416
Sam Wilson,winter_soldier.txt,"No, you can't.",0.0,[ 0.6293892  -0.06272048],[ 1.260748  -1.0387105],0.08729934692382812
Brock Rumlow,winter_soldier.txt,The target is a mobile satellite launch platform,0.0,[-0.01919921  0.49472228],[ 1.8055736 -1.7424932],0.027792006731033325
Steve Rogers,winter_soldier.txt,Any demands?,0.0,[ 2.2478638 -1.3033941],[ 1.5019372 -1.4862541],0.03943723440170288
Brock Rumlow,winter_soldier.txt,A billion and a half.,-0.1666666666666666,[0.70434237 0.21647352],[ 1.3749623 -1.2852073],0.04529672861099243
Steve Rogers,winter_soldier.txt,Why so steep?,0.0,[ 1.6910254  -0.74199843],[ 1.3898225 -1.3490301],0.03865399956703186
Brock Rumlow,winter_soldier.txt,Because it SHIELD's.,0.0,[0.0186015  0.60442364],[ 1.5079483 -1.5068389],0.0274142324924469
Steve Rogers,winter_soldier.txt,"So it's not off-course, it's trespassing.",0.0,[ 0.9653329 -0.5076509],[ 1.2157371 -1.4181134],0.06545776128768921
Natasha Romanoff,winter_soldier.txt,I'm sure they have a good reason.,0.6,[0.2718811  0.33243582],[ 1.3148782 -1.1778069],0.10462303459644318
Steve Rogers,winter_soldier.txt,"You know, I'm getting a little tired of being Fury's janitor.",-0.29375,[ 0.8339453 -0.0520203],[ 1.8061107 -1.8538934],0.11285963654518127
Natasha Romanoff,winter_soldier.txt,"Relax, it's not that complicated.",-0.5,[ 0.6780457  -0.02224966],[ 1.7916328 -1.5893316],0.04775732755661011
Steve Rogers,winter_soldier.txt,How many pirates?,0.5,[ 1.7889774 -1.112353 ],[ 1.0634414 -1.2371936],0.03033873438835144
